,uid,time,tasks
75,netmark-experiment-size-90,64.423,90
76,netmark-experiment-size-90,64.695,90
77,netmark-experiment-size-90,58.125,90
78,netmark-experiment-size-90,68.46,90
79,netmark-experiment-size-90,74.216,90
80,netmark-experiment-size-90,60.893,90
81,netmark-experiment-size-90,50.949,90
82,netmark-experiment-size-90,68.008,90
83,netmark-experiment-size-90,51.981,90
84,netmark-experiment-size-90,64.85,90
85,netmark-experiment-size-90,60.119,90
86,netmark-experiment-size-90,66.114,90
87,netmark-experiment-size-90,69.61,90
88,netmark-experiment-size-90,65.215,90
89,netmark-experiment-size-90,61.831,90
90,netmark-experiment-size-90,70.587,90
91,netmark-experiment-size-90,61.835,90
92,netmark-experiment-size-90,68.446,90
93,netmark-experiment-size-90,65.193,90
94,netmark-experiment-size-90,55.108,90
95,netmark-experiment-size-90,64.972,90
96,netmark-experiment-size-90,56.18,90
97,netmark-experiment-size-90,76.251,90
98,netmark-experiment-size-90,68.509,90
99,netmark-experiment-size-90,68.492,90
100,netmark-experiment-size-90,54.011,90
101,netmark-experiment-size-90,65.771,90
102,netmark-experiment-size-90,52.939,90
103,netmark-experiment-size-90,66.385,90
104,netmark-experiment-size-90,63.973,90
105,netmark-experiment-size-90,63.764,90
106,netmark-experiment-size-90,55.635,90
107,netmark-experiment-size-90,66.043,90
108,netmark-experiment-size-90,56.866,90
109,netmark-experiment-size-90,60.141,90
110,netmark-experiment-size-90,56.724,90
111,netmark-experiment-size-90,49.25,90
112,netmark-experiment-size-90,57.324,90
113,netmark-experiment-size-90,62.112,90
114,netmark-experiment-size-90,65.059,90
115,netmark-experiment-size-90,72.743,90
116,netmark-experiment-size-90,59.21,90
117,netmark-experiment-size-90,68.747,90
118,netmark-experiment-size-90,70.55,90
119,netmark-experiment-size-90,61.641,90
120,netmark-experiment-size-90,52.864,90
121,netmark-experiment-size-90,53.076,90
122,netmark-experiment-size-90,60.473,90
123,netmark-experiment-size-90,64.303,90
124,netmark-experiment-size-90,70.999,90
125,netmark-experiment-size-90,59.046,90
126,netmark-experiment-size-90,61.271,90
127,netmark-experiment-size-90,61.594,90
128,netmark-experiment-size-90,68.974,90
129,netmark-experiment-size-90,57.852,90
130,netmark-experiment-size-90,52.037,90
131,netmark-experiment-size-90,57.615,90
132,netmark-experiment-size-90,66.47,90
133,netmark-experiment-size-90,52.722,90
134,netmark-experiment-size-90,66.284,90
135,netmark-experiment-size-90,64.77,90
136,netmark-experiment-size-90,61.694,90
137,netmark-experiment-size-90,57.131,90
138,netmark-experiment-size-90,50.541,90
139,netmark-experiment-size-90,65.436,90
140,netmark-experiment-size-90,55.676,90
141,netmark-experiment-size-90,56.815,90
142,netmark-experiment-size-90,54.02,90
143,netmark-experiment-size-90,54.285,90
144,netmark-experiment-size-90,59.427,90
145,netmark-experiment-size-90,67.774,90
146,netmark-experiment-size-90,76.437,90
147,netmark-experiment-size-90,57.843,90
148,netmark-experiment-size-90,62.974,90
149,netmark-experiment-size-90,66.552,90
150,netmark-experiment-size-90,64.689,90
151,netmark-experiment-size-90,69.447,90
152,netmark-experiment-size-90,61.828,90
153,netmark-experiment-size-90,61.566,90
154,netmark-experiment-size-90,59.967,90
155,netmark-experiment-size-90,65.656,90
