,experiment,iter,time,problem_size
0,size_8,8,373.26773858070374,large
1,size_8,8,380.22073101997375,large
2,size_8,8,374.61756896972656,large
3,size_8,8,376.3930649757385,large
4,size_8,8,379.4961121082306,large
5,size_2,2,15.258419036865234,large
6,size_2,2,15.15565037727356,large
7,size_2,2,14.990044116973877,large
8,size_2,2,15.250052452087402,large
9,size_2,2,15.258280754089355,large
10,size_2,2,15.294652938842773,large
11,size_2,2,15.073025465011597,large
12,size_2,2,15.23549485206604,large
13,size_2,2,15.232272624969482,large
14,size_2,2,15.362315893173218,large
15,size_2,2,15.232398271560669,large
16,size_2,2,15.282394170761108,large
17,size_2,2,15.512627124786377,large
18,size_2,2,15.154213666915894,large
19,size_2,2,15.177682876586914,large
20,size_2,2,15.238978147506714,large
21,size_2,2,15.291699171066284,large
22,size_2,2,15.3590567111969,large
23,size_2,2,15.14760947227478,large
24,size_2,2,15.178372859954834,large
25,size_6,6,23.078476905822754,large
26,size_6,6,22.910496711730957,large
27,size_6,6,23.098129987716675,large
28,size_6,6,23.091355323791504,large
29,size_6,6,23.066530466079712,large
30,size_6,6,23.105915069580078,large
31,size_6,6,23.07571768760681,large
32,size_6,6,23.076226234436035,large
33,size_6,6,23.371227979660034,large
34,size_6,6,23.21822166442871,large
35,size_6,6,23.329834699630737,large
36,size_6,6,23.00042963027954,large
37,size_6,6,23.206449270248413,large
38,size_6,6,23.30586886405945,large
39,size_6,6,23.127270460128784,large
40,size_6,6,23.0319664478302,large
41,size_6,6,22.808587789535522,large
42,size_6,6,23.008158206939697,large
43,size_6,6,23.41356897354126,large
44,size_6,6,23.02111506462097,large
45,size_4,4,14.333324193954468,large
46,size_4,4,14.550118446350098,large
47,size_4,4,14.510387897491455,large
48,size_4,4,15.183151960372925,large
49,size_4,4,14.624483346939087,large
50,size_4,4,14.111952543258667,large
51,size_4,4,14.902195930480957,large
52,size_4,4,14.838712215423584,large
53,size_4,4,14.228259086608887,large
54,size_4,4,14.120779991149902,large
55,size_4,4,14.783977746963501,large
56,size_4,4,14.671325206756592,large
57,size_4,4,14.575895547866821,large
58,size_4,4,15.022231340408325,large
59,size_4,4,14.782230377197266,large
60,size_4,4,14.70133113861084,large
61,size_4,4,14.140454053878784,large
62,size_4,4,14.483903408050537,large
63,size_4,4,14.263218402862549,large
64,size_4,4,14.485710144042969,large
65,size_7,7,20.28708529472351,large
66,size_7,7,20.706972122192383,large
67,size_7,7,21.00483250617981,large
68,size_7,7,20.099294662475586,large
69,size_7,7,20.600526332855225,large
70,size_7,7,20.995747089385986,large
71,size_7,7,20.14250898361206,large
72,size_7,7,20.820560216903687,large
73,size_7,7,20.99612855911255,large
74,size_7,7,19.98239231109619,large
