,minicluster_size,name,fluxsubmit_time,fluxstart_time,lammps_time,ranks,timesteps_per_second,operator_name
aws/k8s-size-65-hpc6a.48xlarge/lmp-64-16-minicluster-size-64,64,minicluster-64,26.69,28.94,19.0,6016,5.445,flux-operator
aws/k8s-size-65-hpc6a.48xlarge/lmp-16-15-minicluster-size-16,16,minicluster-16,49.55,51.49,43.0,1504,2.395,flux-operator
aws/k8s-size-65-hpc6a.48xlarge/lmp-16-12-minicluster-size-16,16,minicluster-16,49.67,50.53,43.0,1504,2.381,flux-operator
aws/k8s-size-65-hpc6a.48xlarge/lmp-8-1-minicluster-size-8,8,minicluster-8,79.53,80.38,73.0,752,1.4,flux-operator
aws/k8s-size-65-hpc6a.48xlarge/lmp-8-19-minicluster-size-8,8,minicluster-8,80.63,81.47,74.0,752,1.381,flux-operator
aws/k8s-size-65-hpc6a.48xlarge/lmp-64-15-minicluster-size-64,64,minicluster-64,25.45,28.09,18.0,6016,5.774,flux-operator
aws/k8s-size-65-hpc6a.48xlarge/lmp-16-4-minicluster-size-16,16,minicluster-16,49.9,51.64,43.0,1504,2.367,flux-operator
aws/k8s-size-65-hpc6a.48xlarge/lmp-32-20-minicluster-size-32,32,minicluster-32,33.86,35.5,27.0,3008,3.82,flux-operator
aws/k8s-size-65-hpc6a.48xlarge/lmp-8-4-minicluster-size-8,8,minicluster-8,79.61,82.62,73.0,752,1.403,flux-operator
aws/k8s-size-65-hpc6a.48xlarge/lmp-8-7-minicluster-size-8,8,minicluster-8,79.62,80.44,73.0,752,1.4,flux-operator
aws/k8s-size-65-hpc6a.48xlarge/lmp-64-9-minicluster-size-64,64,minicluster-64,26.48,28.36,19.0,6016,5.542,flux-operator
aws/k8s-size-65-hpc6a.48xlarge/lmp-64-18-minicluster-size-64,64,minicluster-64,25.74,27.65,18.0,6016,5.721,flux-operator
aws/k8s-size-65-hpc6a.48xlarge/lmp-8-12-minicluster-size-8,8,minicluster-8,86.53999999999999,87.4,80.0,752,1.277,flux-operator
aws/k8s-size-65-hpc6a.48xlarge/lmp-64-6-minicluster-size-64,64,minicluster-64,26.59,28.5,19.0,6016,5.489,flux-operator
aws/k8s-size-65-hpc6a.48xlarge/lmp-64-19-minicluster-size-64,64,minicluster-64,25.76,27.64,18.0,6016,5.79,flux-operator
aws/k8s-size-65-hpc6a.48xlarge/lmp-64-13-minicluster-size-64,64,minicluster-64,25.86,28.16,18.0,6016,5.733,flux-operator
aws/k8s-size-65-hpc6a.48xlarge/lmp-16-8-minicluster-size-16,16,minicluster-16,53.92,54.8,47.0,1504,2.159,flux-operator
aws/k8s-size-65-hpc6a.48xlarge/lmp-8-18-minicluster-size-8,8,minicluster-8,79.35,81.09,73.0,752,1.402,flux-operator
aws/k8s-size-65-hpc6a.48xlarge/lmp-64-8-minicluster-size-64,64,minicluster-64,27.56,29.53,19.0,6016,5.438,flux-operator
aws/k8s-size-65-hpc6a.48xlarge/lmp-16-7-minicluster-size-16,16,minicluster-16,49.34,50.17,43.0,1504,2.397,flux-operator
aws/k8s-size-65-hpc6a.48xlarge/lmp-16-1-minicluster-size-16,16,minicluster-16,49.31,51.18,43.0,1504,2.403,flux-operator
