,minicluster_size,mpitype,runtime,analysis,ranks,name
kubernetes-8/ompi/size_1_ring_c-noaff/mpis-1-ring_c-noaff-16,1,ompi,1.2897791862487793,ring_c-noaff,56,ompi-noaff
kubernetes-8/ompi/size_1_ring_c-noaff/mpis-1-ring_c-noaff-5,1,ompi,1.3775384426116943,ring_c-noaff,56,ompi-noaff
kubernetes-8/ompi/size_1_ring_c-noaff/mpis-1-ring_c-noaff-12,1,ompi,1.1675028800964355,ring_c-noaff,56,ompi-noaff
kubernetes-8/ompi/size_1_ring_c-noaff/mpis-1-ring_c-noaff-18,1,ompi,1.194354772567749,ring_c-noaff,56,ompi-noaff
kubernetes-8/ompi/size_1_ring_c-noaff/mpis-1-ring_c-noaff-13,1,ompi,1.1718871593475342,ring_c-noaff,56,ompi-noaff
kubernetes-8/ompi/size_1_ring_c-noaff/mpis-1-ring_c-noaff-14,1,ompi,1.3708124160766602,ring_c-noaff,56,ompi-noaff
kubernetes-8/ompi/size_1_ring_c-noaff/mpis-1-ring_c-noaff-1,1,ompi,1.26609468460083,ring_c-noaff,56,ompi-noaff
kubernetes-8/ompi/size_1_ring_c-noaff/mpis-1-ring_c-noaff-2,1,ompi,1.178588628768921,ring_c-noaff,56,ompi-noaff
kubernetes-8/ompi/size_1_ring_c-noaff/mpis-1-ring_c-noaff-4,1,ompi,1.235384464263916,ring_c-noaff,56,ompi-noaff
kubernetes-8/ompi/size_1_ring_c-noaff/mpis-1-ring_c-noaff-15,1,ompi,1.2640478610992432,ring_c-noaff,56,ompi-noaff
kubernetes-8/ompi/size_1_ring_c-noaff/mpis-1-ring_c-noaff-11,1,ompi,1.1820106506347656,ring_c-noaff,56,ompi-noaff
kubernetes-8/ompi/size_1_ring_c-noaff/mpis-1-ring_c-noaff-9,1,ompi,1.215162754058838,ring_c-noaff,56,ompi-noaff
kubernetes-8/ompi/size_1_ring_c-noaff/mpis-1-ring_c-noaff-3,1,ompi,1.1601648330688477,ring_c-noaff,56,ompi-noaff
kubernetes-8/ompi/size_1_ring_c-noaff/mpis-1-ring_c-noaff-8,1,ompi,1.215787649154663,ring_c-noaff,56,ompi-noaff
kubernetes-8/ompi/size_1_ring_c-noaff/mpis-1-ring_c-noaff-6,1,ompi,1.2802214622497559,ring_c-noaff,56,ompi-noaff
kubernetes-8/ompi/size_1_ring_c-noaff/mpis-1-ring_c-noaff-7,1,ompi,1.2972862720489502,ring_c-noaff,56,ompi-noaff
kubernetes-8/ompi/size_1_ring_c-noaff/mpis-1-ring_c-noaff-0,1,ompi,1.2488181591033936,ring_c-noaff,56,ompi-noaff
kubernetes-8/ompi/size_1_ring_c-noaff/mpis-1-ring_c-noaff-19,1,ompi,1.1680288314819336,ring_c-noaff,56,ompi-noaff
kubernetes-8/ompi/size_1_ring_c-noaff/mpis-1-ring_c-noaff-10,1,ompi,1.138976812362671,ring_c-noaff,56,ompi-noaff
kubernetes-8/ompi/size_1_ring_c-noaff/mpis-1-ring_c-noaff-17,1,ompi,1.3089919090270996,ring_c-noaff,56,ompi-noaff
kubernetes-8/ompi/size_3_ring_c-noaff/mpis-3-ring_c-noaff-0,3,ompi,1.3941607475280762,ring_c-noaff,168,ompi-noaff
kubernetes-8/ompi/size_3_ring_c-noaff/mpis-3-ring_c-noaff-5,3,ompi,1.3633577823638916,ring_c-noaff,168,ompi-noaff
kubernetes-8/ompi/size_3_ring_c-noaff/mpis-3-ring_c-noaff-11,3,ompi,1.4165349006652832,ring_c-noaff,168,ompi-noaff
kubernetes-8/ompi/size_3_ring_c-noaff/mpis-3-ring_c-noaff-19,3,ompi,1.379810094833374,ring_c-noaff,168,ompi-noaff
kubernetes-8/ompi/size_3_ring_c-noaff/mpis-3-ring_c-noaff-15,3,ompi,1.364875078201294,ring_c-noaff,168,ompi-noaff
kubernetes-8/ompi/size_3_ring_c-noaff/mpis-3-ring_c-noaff-13,3,ompi,1.3164763450622559,ring_c-noaff,168,ompi-noaff
kubernetes-8/ompi/size_3_ring_c-noaff/mpis-3-ring_c-noaff-12,3,ompi,1.3335521221160889,ring_c-noaff,168,ompi-noaff
kubernetes-8/ompi/size_3_ring_c-noaff/mpis-3-ring_c-noaff-10,3,ompi,1.3728218078613281,ring_c-noaff,168,ompi-noaff
kubernetes-8/ompi/size_3_ring_c-noaff/mpis-3-ring_c-noaff-7,3,ompi,1.3977949619293213,ring_c-noaff,168,ompi-noaff
kubernetes-8/ompi/size_3_ring_c-noaff/mpis-3-ring_c-noaff-8,3,ompi,1.4558258056640625,ring_c-noaff,168,ompi-noaff
kubernetes-8/ompi/size_3_ring_c-noaff/mpis-3-ring_c-noaff-9,3,ompi,1.569220781326294,ring_c-noaff,168,ompi-noaff
kubernetes-8/ompi/size_3_ring_c-noaff/mpis-3-ring_c-noaff-18,3,ompi,1.4444875717163086,ring_c-noaff,168,ompi-noaff
kubernetes-8/ompi/size_3_ring_c-noaff/mpis-3-ring_c-noaff-6,3,ompi,1.500694751739502,ring_c-noaff,168,ompi-noaff
kubernetes-8/ompi/size_3_ring_c-noaff/mpis-3-ring_c-noaff-3,3,ompi,1.3576135635375977,ring_c-noaff,168,ompi-noaff
kubernetes-8/ompi/size_3_ring_c-noaff/mpis-3-ring_c-noaff-14,3,ompi,1.445556640625,ring_c-noaff,168,ompi-noaff
kubernetes-8/ompi/size_3_ring_c-noaff/mpis-3-ring_c-noaff-2,3,ompi,1.3596525192260742,ring_c-noaff,168,ompi-noaff
kubernetes-8/ompi/size_3_ring_c-noaff/mpis-3-ring_c-noaff-1,3,ompi,1.4933781623840332,ring_c-noaff,168,ompi-noaff
