,minicluster_size,mpitype,runtime,analysis,ranks,name
kubernetes-8/ompi/size_4_ring_mpifh-noaff/mpis-4-ring_mpifh-noaff-17,4,ompi,1.4953198432922363,ring_mpifh-noaff,224,ompi-noaff
kubernetes-8/ompi/size_4_ring_mpifh-noaff/mpis-4-ring_mpifh-noaff-15,4,ompi,1.5154294967651367,ring_mpifh-noaff,224,ompi-noaff
kubernetes-8/ompi/size_4_ring_mpifh-noaff/mpis-4-ring_mpifh-noaff-2,4,ompi,1.4955532550811768,ring_mpifh-noaff,224,ompi-noaff
kubernetes-8/ompi/size_4_ring_mpifh-noaff/mpis-4-ring_mpifh-noaff-12,4,ompi,1.4274039268493652,ring_mpifh-noaff,224,ompi-noaff
kubernetes-8/ompi/size_4_ring_mpifh-noaff/mpis-4-ring_mpifh-noaff-3,4,ompi,1.4321167469024658,ring_mpifh-noaff,224,ompi-noaff
kubernetes-8/ompi/size_2_ring_mpifh-noaff/mpis-2-ring_mpifh-noaff-11,2,ompi,1.2774701118469238,ring_mpifh-noaff,112,ompi-noaff
kubernetes-8/ompi/size_2_ring_mpifh-noaff/mpis-2-ring_mpifh-noaff-4,2,ompi,1.3659985065460205,ring_mpifh-noaff,112,ompi-noaff
kubernetes-8/ompi/size_2_ring_mpifh-noaff/mpis-2-ring_mpifh-noaff-6,2,ompi,1.286424160003662,ring_mpifh-noaff,112,ompi-noaff
kubernetes-8/ompi/size_2_ring_mpifh-noaff/mpis-2-ring_mpifh-noaff-10,2,ompi,1.4551582336425781,ring_mpifh-noaff,112,ompi-noaff
kubernetes-8/ompi/size_2_ring_mpifh-noaff/mpis-2-ring_mpifh-noaff-18,2,ompi,1.3022565841674805,ring_mpifh-noaff,112,ompi-noaff
kubernetes-8/ompi/size_2_ring_mpifh-noaff/mpis-2-ring_mpifh-noaff-0,2,ompi,1.5576298236846924,ring_mpifh-noaff,112,ompi-noaff
kubernetes-8/ompi/size_2_ring_mpifh-noaff/mpis-2-ring_mpifh-noaff-2,2,ompi,1.4186005592346191,ring_mpifh-noaff,112,ompi-noaff
kubernetes-8/ompi/size_2_ring_mpifh-noaff/mpis-2-ring_mpifh-noaff-5,2,ompi,1.323415994644165,ring_mpifh-noaff,112,ompi-noaff
kubernetes-8/ompi/size_2_ring_mpifh-noaff/mpis-2-ring_mpifh-noaff-16,2,ompi,1.2759089469909668,ring_mpifh-noaff,112,ompi-noaff
kubernetes-8/ompi/size_2_ring_mpifh-noaff/mpis-2-ring_mpifh-noaff-19,2,ompi,1.2779347896575928,ring_mpifh-noaff,112,ompi-noaff
kubernetes-8/ompi/size_2_ring_mpifh-noaff/mpis-2-ring_mpifh-noaff-3,2,ompi,1.3282713890075684,ring_mpifh-noaff,112,ompi-noaff
kubernetes-8/ompi/size_2_ring_mpifh-noaff/mpis-2-ring_mpifh-noaff-1,2,ompi,1.2924816608428955,ring_mpifh-noaff,112,ompi-noaff
kubernetes-8/ompi/size_2_ring_mpifh-noaff/mpis-2-ring_mpifh-noaff-7,2,ompi,1.2787702083587646,ring_mpifh-noaff,112,ompi-noaff
kubernetes-8/ompi/size_2_ring_mpifh-noaff/mpis-2-ring_mpifh-noaff-17,2,ompi,1.4795100688934326,ring_mpifh-noaff,112,ompi-noaff
kubernetes-8/ompi/size_2_ring_mpifh-noaff/mpis-2-ring_mpifh-noaff-15,2,ompi,1.5620410442352295,ring_mpifh-noaff,112,ompi-noaff
kubernetes-8/ompi/size_2_ring_mpifh-noaff/mpis-2-ring_mpifh-noaff-8,2,ompi,1.3147478103637695,ring_mpifh-noaff,112,ompi-noaff
kubernetes-8/ompi/size_2_ring_mpifh-noaff/mpis-2-ring_mpifh-noaff-14,2,ompi,1.3107147216796875,ring_mpifh-noaff,112,ompi-noaff
kubernetes-8/ompi/size_2_ring_mpifh-noaff/mpis-2-ring_mpifh-noaff-13,2,ompi,1.2856686115264893,ring_mpifh-noaff,112,ompi-noaff
kubernetes-8/ompi/size_2_ring_mpifh-noaff/mpis-2-ring_mpifh-noaff-12,2,ompi,1.2935848236083984,ring_mpifh-noaff,112,ompi-noaff
kubernetes-8/ompi/size_2_ring_mpifh-noaff/mpis-2-ring_mpifh-noaff-9,2,ompi,1.380516767501831,ring_mpifh-noaff,112,ompi-noaff
kubernetes-8/ompi/size_8_ring_mpifh-noaff/mpis-8-ring_mpifh-noaff-11,8,ompi,1.8661160469055176,ring_mpifh-noaff,448,ompi-noaff
kubernetes-8/ompi/size_8_ring_mpifh-noaff/mpis-8-ring_mpifh-noaff-14,8,ompi,1.816335916519165,ring_mpifh-noaff,448,ompi-noaff
kubernetes-8/ompi/size_8_ring_mpifh-noaff/mpis-8-ring_mpifh-noaff-2,8,ompi,1.828916072845459,ring_mpifh-noaff,448,ompi-noaff
kubernetes-8/ompi/size_8_ring_mpifh-noaff/mpis-8-ring_mpifh-noaff-9,8,ompi,1.7791485786437988,ring_mpifh-noaff,448,ompi-noaff
kubernetes-8/ompi/size_8_ring_mpifh-noaff/mpis-8-ring_mpifh-noaff-18,8,ompi,1.8131251335144043,ring_mpifh-noaff,448,ompi-noaff
kubernetes-8/ompi/size_8_ring_mpifh-noaff/mpis-8-ring_mpifh-noaff-17,8,ompi,1.8205106258392334,ring_mpifh-noaff,448,ompi-noaff
kubernetes-8/ompi/size_8_ring_mpifh-noaff/mpis-8-ring_mpifh-noaff-0,8,ompi,1.8509190082550049,ring_mpifh-noaff,448,ompi-noaff
kubernetes-8/ompi/size_8_ring_mpifh-noaff/mpis-8-ring_mpifh-noaff-7,8,ompi,1.8253395557403564,ring_mpifh-noaff,448,ompi-noaff
kubernetes-8/ompi/size_8_ring_mpifh-noaff/mpis-8-ring_mpifh-noaff-19,8,ompi,1.8131213188171387,ring_mpifh-noaff,448,ompi-noaff
kubernetes-8/ompi/size_8_ring_mpifh-noaff/mpis-8-ring_mpifh-noaff-6,8,ompi,1.8062620162963867,ring_mpifh-noaff,448,ompi-noaff
kubernetes-8/ompi/size_8_ring_mpifh-noaff/mpis-8-ring_mpifh-noaff-16,8,ompi,1.729473352432251,ring_mpifh-noaff,448,ompi-noaff
kubernetes-8/ompi/size_8_ring_mpifh-noaff/mpis-8-ring_mpifh-noaff-3,8,ompi,1.8999834060668945,ring_mpifh-noaff,448,ompi-noaff
kubernetes-8/ompi/size_8_ring_mpifh-noaff/mpis-8-ring_mpifh-noaff-1,8,ompi,1.8124592304229736,ring_mpifh-noaff,448,ompi-noaff
kubernetes-8/ompi/size_8_ring_mpifh-noaff/mpis-8-ring_mpifh-noaff-12,8,ompi,1.733271837234497,ring_mpifh-noaff,448,ompi-noaff
kubernetes-8/ompi/size_8_ring_mpifh-noaff/mpis-8-ring_mpifh-noaff-13,8,ompi,1.8978142738342285,ring_mpifh-noaff,448,ompi-noaff
kubernetes-8/ompi/size_8_ring_mpifh-noaff/mpis-8-ring_mpifh-noaff-8,8,ompi,1.8126099109649658,ring_mpifh-noaff,448,ompi-noaff
kubernetes-8/ompi/size_8_ring_mpifh-noaff/mpis-8-ring_mpifh-noaff-15,8,ompi,1.773789882659912,ring_mpifh-noaff,448,ompi-noaff
kubernetes-8/ompi/size_8_ring_mpifh-noaff/mpis-8-ring_mpifh-noaff-4,8,ompi,1.8953044414520264,ring_mpifh-noaff,448,ompi-noaff
kubernetes-8/ompi/size_8_ring_mpifh-noaff/mpis-8-ring_mpifh-noaff-10,8,ompi,1.7613096237182617,ring_mpifh-noaff,448,ompi-noaff
kubernetes-8/ompi/size_8_ring_mpifh-noaff/mpis-8-ring_mpifh-noaff-5,8,ompi,1.9231703281402588,ring_mpifh-noaff,448,ompi-noaff
kubernetes-8/ompi/size_5_ring_mpifh/mpis-5-ring_mpifh-11,5,ompi,1.5692639350891113,ring_mpifh,280,ompi
kubernetes-8/ompi/size_5_ring_mpifh/mpis-5-ring_mpifh-10,5,ompi,1.5613658428192139,ring_mpifh,280,ompi
kubernetes-8/ompi/size_5_ring_mpifh/mpis-5-ring_mpifh-6,5,ompi,1.523775339126587,ring_mpifh,280,ompi
kubernetes-8/ompi/size_5_ring_mpifh/mpis-5-ring_mpifh-18,5,ompi,1.5470616817474365,ring_mpifh,280,ompi
kubernetes-8/ompi/size_5_ring_mpifh/mpis-5-ring_mpifh-15,5,ompi,1.5091099739074707,ring_mpifh,280,ompi
kubernetes-8/ompi/size_5_ring_mpifh/mpis-5-ring_mpifh-17,5,ompi,1.5352535247802734,ring_mpifh,280,ompi
kubernetes-8/ompi/size_5_ring_mpifh/mpis-5-ring_mpifh-13,5,ompi,1.5156786441802979,ring_mpifh,280,ompi
kubernetes-8/ompi/size_5_ring_mpifh/mpis-5-ring_mpifh-9,5,ompi,1.5422570705413818,ring_mpifh,280,ompi
kubernetes-8/ompi/size_5_ring_mpifh/mpis-5-ring_mpifh-4,5,ompi,1.5328526496887207,ring_mpifh,280,ompi
kubernetes-8/ompi/size_5_ring_mpifh/mpis-5-ring_mpifh-2,5,ompi,1.5376331806182861,ring_mpifh,280,ompi
kubernetes-8/ompi/size_5_ring_mpifh/mpis-5-ring_mpifh-8,5,ompi,1.5732872486114502,ring_mpifh,280,ompi
kubernetes-8/ompi/size_5_ring_mpifh/mpis-5-ring_mpifh-5,5,ompi,1.5851259231567383,ring_mpifh,280,ompi
kubernetes-8/ompi/size_5_ring_mpifh/mpis-5-ring_mpifh-0,5,ompi,1.580977439880371,ring_mpifh,280,ompi
kubernetes-8/ompi/size_5_ring_mpifh/mpis-5-ring_mpifh-1,5,ompi,1.5989582538604736,ring_mpifh,280,ompi
kubernetes-8/ompi/size_5_ring_mpifh/mpis-5-ring_mpifh-19,5,ompi,1.5427722930908203,ring_mpifh,280,ompi
kubernetes-8/ompi/size_5_ring_mpifh/mpis-5-ring_mpifh-14,5,ompi,1.550424337387085,ring_mpifh,280,ompi
kubernetes-8/ompi/size_5_ring_mpifh/mpis-5-ring_mpifh-12,5,ompi,1.5401356220245361,ring_mpifh,280,ompi
kubernetes-8/ompi/size_5_ring_mpifh/mpis-5-ring_mpifh-3,5,ompi,1.5209228992462158,ring_mpifh,280,ompi
kubernetes-8/ompi/size_5_ring_mpifh/mpis-5-ring_mpifh-7,5,ompi,1.5422112941741943,ring_mpifh,280,ompi
