,minicluster_size,mpitype,runtime,analysis,ranks,name
kubernetes-8/ompi/size_1_hello_c-noaff/mpis-1-hello_c-noaff-19,1,ompi,1.1288881301879883,hello_c-noaff,56,ompi-noaff
kubernetes-8/ompi/size_1_hello_c-noaff/mpis-1-hello_c-noaff-11,1,ompi,1.1707165241241455,hello_c-noaff,56,ompi-noaff
kubernetes-8/ompi/size_1_hello_c-noaff/mpis-1-hello_c-noaff-6,1,ompi,1.1301274299621582,hello_c-noaff,56,ompi-noaff
kubernetes-8/ompi/size_1_hello_c-noaff/mpis-1-hello_c-noaff-2,1,ompi,1.138533353805542,hello_c-noaff,56,ompi-noaff
kubernetes-8/ompi/size_1_hello_c-noaff/mpis-1-hello_c-noaff-4,1,ompi,1.156076192855835,hello_c-noaff,56,ompi-noaff
kubernetes-8/ompi/size_1_hello_c-noaff/mpis-1-hello_c-noaff-10,1,ompi,1.1757028102874756,hello_c-noaff,56,ompi-noaff
kubernetes-8/ompi/size_1_hello_c-noaff/mpis-1-hello_c-noaff-0,1,ompi,1.1477346420288086,hello_c-noaff,56,ompi-noaff
kubernetes-8/ompi/size_1_hello_c-noaff/mpis-1-hello_c-noaff-7,1,ompi,1.1256909370422363,hello_c-noaff,56,ompi-noaff
kubernetes-8/ompi/size_1_hello_c-noaff/mpis-1-hello_c-noaff-3,1,ompi,1.1377370357513428,hello_c-noaff,56,ompi-noaff
kubernetes-8/ompi/size_1_hello_c-noaff/mpis-1-hello_c-noaff-5,1,ompi,1.121717929840088,hello_c-noaff,56,ompi-noaff
kubernetes-8/ompi/size_1_hello_c-noaff/mpis-1-hello_c-noaff-18,1,ompi,1.1429297924041748,hello_c-noaff,56,ompi-noaff
kubernetes-8/ompi/size_1_hello_c-noaff/mpis-1-hello_c-noaff-9,1,ompi,1.122924566268921,hello_c-noaff,56,ompi-noaff
kubernetes-8/ompi/size_1_hello_c-noaff/mpis-1-hello_c-noaff-17,1,ompi,1.1358766555786133,hello_c-noaff,56,ompi-noaff
kubernetes-8/ompi/size_1_hello_c-noaff/mpis-1-hello_c-noaff-8,1,ompi,1.1220195293426514,hello_c-noaff,56,ompi-noaff
kubernetes-8/ompi/size_1_hello_c-noaff/mpis-1-hello_c-noaff-14,1,ompi,1.1437664031982422,hello_c-noaff,56,ompi-noaff
kubernetes-8/ompi/size_1_hello_c-noaff/mpis-1-hello_c-noaff-12,1,ompi,1.1528854370117188,hello_c-noaff,56,ompi-noaff
kubernetes-8/ompi/size_1_hello_c-noaff/mpis-1-hello_c-noaff-16,1,ompi,1.1614408493041992,hello_c-noaff,56,ompi-noaff
kubernetes-8/ompi/size_1_hello_c-noaff/mpis-1-hello_c-noaff-13,1,ompi,1.1536319255828857,hello_c-noaff,56,ompi-noaff
kubernetes-8/ompi/size_1_hello_c-noaff/mpis-1-hello_c-noaff-15,1,ompi,1.1672754287719727,hello_c-noaff,56,ompi-noaff
kubernetes-8/ompi/size_1_hello_c-noaff/mpis-1-hello_c-noaff-1,1,ompi,1.1399145126342773,hello_c-noaff,56,ompi-noaff
kubernetes-8/ompi/size_6_hello_c-noaff/mpis-6-hello_c-noaff-10,6,ompi,1.413205862045288,hello_c-noaff,336,ompi-noaff
kubernetes-8/ompi/size_6_hello_c-noaff/mpis-6-hello_c-noaff-3,6,ompi,1.4282307624816895,hello_c-noaff,336,ompi-noaff
kubernetes-8/ompi/size_6_hello_c-noaff/mpis-6-hello_c-noaff-15,6,ompi,1.43310546875,hello_c-noaff,336,ompi-noaff
kubernetes-8/ompi/size_6_hello_c-noaff/mpis-6-hello_c-noaff-11,6,ompi,1.4243505001068115,hello_c-noaff,336,ompi-noaff
kubernetes-8/ompi/size_6_hello_c-noaff/mpis-6-hello_c-noaff-9,6,ompi,1.4065923690795898,hello_c-noaff,336,ompi-noaff
kubernetes-8/ompi/size_6_hello_c-noaff/mpis-6-hello_c-noaff-19,6,ompi,1.3810193538665771,hello_c-noaff,336,ompi-noaff
kubernetes-8/ompi/size_6_hello_c-noaff/mpis-6-hello_c-noaff-2,6,ompi,1.4296565055847168,hello_c-noaff,336,ompi-noaff
kubernetes-8/ompi/size_6_hello_c-noaff/mpis-6-hello_c-noaff-18,6,ompi,1.423311710357666,hello_c-noaff,336,ompi-noaff
kubernetes-8/ompi/size_6_hello_c-noaff/mpis-6-hello_c-noaff-1,6,ompi,1.3959836959838867,hello_c-noaff,336,ompi-noaff
kubernetes-8/ompi/size_6_hello_c-noaff/mpis-6-hello_c-noaff-8,6,ompi,1.409090280532837,hello_c-noaff,336,ompi-noaff
kubernetes-8/ompi/size_6_hello_c-noaff/mpis-6-hello_c-noaff-13,6,ompi,1.4367618560791016,hello_c-noaff,336,ompi-noaff
kubernetes-8/ompi/size_6_hello_c-noaff/mpis-6-hello_c-noaff-7,6,ompi,1.443404197692871,hello_c-noaff,336,ompi-noaff
kubernetes-8/ompi/size_6_hello_c-noaff/mpis-6-hello_c-noaff-17,6,ompi,1.4039106369018555,hello_c-noaff,336,ompi-noaff
kubernetes-8/ompi/size_6_hello_c-noaff/mpis-6-hello_c-noaff-16,6,ompi,1.435866117477417,hello_c-noaff,336,ompi-noaff
kubernetes-8/ompi/size_6_hello_c-noaff/mpis-6-hello_c-noaff-6,6,ompi,1.4083712100982666,hello_c-noaff,336,ompi-noaff
kubernetes-8/ompi/size_6_hello_c-noaff/mpis-6-hello_c-noaff-12,6,ompi,1.4365592002868652,hello_c-noaff,336,ompi-noaff
kubernetes-8/ompi/size_6_hello_c-noaff/mpis-6-hello_c-noaff-4,6,ompi,1.4227592945098877,hello_c-noaff,336,ompi-noaff
kubernetes-8/ompi/size_6_hello_c-noaff/mpis-6-hello_c-noaff-0,6,ompi,1.4125761985778809,hello_c-noaff,336,ompi-noaff
kubernetes-8/ompi/size_6_hello_c-noaff/mpis-6-hello_c-noaff-14,6,ompi,1.4035375118255615,hello_c-noaff,336,ompi-noaff
kubernetes-8/ompi/size_6_hello_c-noaff/mpis-6-hello_c-noaff-5,6,ompi,1.4284217357635498,hello_c-noaff,336,ompi-noaff
kubernetes-8/ompi/size_5_hello_c/mpis-5-hello_c-4,5,ompi,1.4626801013946533,hello_c,280,ompi
kubernetes-8/ompi/size_5_hello_c/mpis-5-hello_c-0,5,ompi,1.4998841285705566,hello_c,280,ompi
kubernetes-8/ompi/size_5_hello_c/mpis-5-hello_c-9,5,ompi,1.462428331375122,hello_c,280,ompi
kubernetes-8/ompi/size_5_hello_c/mpis-5-hello_c-1,5,ompi,1.4759209156036377,hello_c,280,ompi
kubernetes-8/ompi/size_5_hello_c/mpis-5-hello_c-3,5,ompi,1.4592630863189697,hello_c,280,ompi
kubernetes-8/ompi/size_5_hello_c/mpis-5-hello_c-14,5,ompi,1.4635939598083496,hello_c,280,ompi
kubernetes-8/ompi/size_5_hello_c/mpis-5-hello_c-8,5,ompi,1.4522292613983154,hello_c,280,ompi
kubernetes-8/ompi/size_5_hello_c/mpis-5-hello_c-10,5,ompi,1.4699416160583496,hello_c,280,ompi
kubernetes-8/ompi/size_5_hello_c/mpis-5-hello_c-12,5,ompi,1.5019431114196777,hello_c,280,ompi
kubernetes-8/ompi/size_5_hello_c/mpis-5-hello_c-16,5,ompi,1.473665475845337,hello_c,280,ompi
kubernetes-8/ompi/size_5_hello_c/mpis-5-hello_c-15,5,ompi,1.4677073955535889,hello_c,280,ompi
kubernetes-8/ompi/size_5_hello_c/mpis-5-hello_c-18,5,ompi,1.458369255065918,hello_c,280,ompi
kubernetes-8/ompi/size_5_hello_c/mpis-5-hello_c-11,5,ompi,1.4648714065551758,hello_c,280,ompi
kubernetes-8/ompi/size_5_hello_c/mpis-5-hello_c-6,5,ompi,1.445263147354126,hello_c,280,ompi
kubernetes-8/ompi/size_5_hello_c/mpis-5-hello_c-5,5,ompi,1.4609086513519287,hello_c,280,ompi
kubernetes-8/ompi/size_5_hello_c/mpis-5-hello_c-13,5,ompi,1.4682152271270752,hello_c,280,ompi
kubernetes-8/ompi/size_5_hello_c/mpis-5-hello_c-2,5,ompi,1.4743475914001465,hello_c,280,ompi
kubernetes-8/ompi/size_5_hello_c/mpis-5-hello_c-19,5,ompi,1.4600112438201904,hello_c,280,ompi
kubernetes-8/ompi/size_5_hello_c/mpis-5-hello_c-7,5,ompi,1.475006341934204,hello_c,280,ompi
kubernetes-8/ompi/size_5_hello_c/mpis-5-hello_c-17,5,ompi,1.4898676872253418,hello_c,280,ompi
kubernetes-8/ompi/size_2_hello_c/mpis-2-hello_c-12,2,ompi,1.3034119606018066,hello_c,112,ompi
kubernetes-8/ompi/size_2_hello_c/mpis-2-hello_c-15,2,ompi,1.2928264141082764,hello_c,112,ompi
kubernetes-8/ompi/size_2_hello_c/mpis-2-hello_c-14,2,ompi,1.2855145931243896,hello_c,112,ompi
kubernetes-8/ompi/size_2_hello_c/mpis-2-hello_c-10,2,ompi,1.2955210208892822,hello_c,112,ompi
kubernetes-8/ompi/size_2_hello_c/mpis-2-hello_c-18,2,ompi,1.282588005065918,hello_c,112,ompi
kubernetes-8/ompi/size_2_hello_c/mpis-2-hello_c-19,2,ompi,1.2939260005950928,hello_c,112,ompi
kubernetes-8/ompi/size_2_hello_c/mpis-2-hello_c-16,2,ompi,1.2947919368743896,hello_c,112,ompi
kubernetes-8/ompi/size_2_hello_c/mpis-2-hello_c-0,2,ompi,1.3008770942687988,hello_c,112,ompi
kubernetes-8/ompi/size_2_hello_c/mpis-2-hello_c-5,2,ompi,1.300658941268921,hello_c,112,ompi
kubernetes-8/ompi/size_2_hello_c/mpis-2-hello_c-13,2,ompi,1.3200099468231201,hello_c,112,ompi
kubernetes-8/ompi/size_2_hello_c/mpis-2-hello_c-1,2,ompi,1.2947824001312256,hello_c,112,ompi
kubernetes-8/ompi/size_2_hello_c/mpis-2-hello_c-6,2,ompi,1.2858302593231201,hello_c,112,ompi
kubernetes-8/ompi/size_2_hello_c/mpis-2-hello_c-4,2,ompi,1.3014905452728271,hello_c,112,ompi
kubernetes-8/ompi/size_2_hello_c/mpis-2-hello_c-11,2,ompi,1.2934050559997559,hello_c,112,ompi
kubernetes-8/ompi/size_2_hello_c/mpis-2-hello_c-7,2,ompi,1.2743194103240967,hello_c,112,ompi
kubernetes-8/ompi/size_2_hello_c/mpis-2-hello_c-3,2,ompi,1.289712905883789,hello_c,112,ompi
kubernetes-8/ompi/size_2_hello_c/mpis-2-hello_c-17,2,ompi,1.3191688060760498,hello_c,112,ompi
kubernetes-8/ompi/size_2_hello_c/mpis-2-hello_c-9,2,ompi,1.3105380535125732,hello_c,112,ompi
kubernetes-8/ompi/size_2_hello_c/mpis-2-hello_c-8,2,ompi,1.294966459274292,hello_c,112,ompi
kubernetes-8/ompi/size_2_hello_c/mpis-2-hello_c-2,2,ompi,1.2872118949890137,hello_c,112,ompi
kubernetes-8/ompi/size_6_hello_c/mpis-6-hello_c-3,6,ompi,1.4913017749786377,hello_c,336,ompi
kubernetes-8/ompi/size_6_hello_c/mpis-6-hello_c-11,6,ompi,1.4947474002838135,hello_c,336,ompi
kubernetes-8/ompi/size_6_hello_c/mpis-6-hello_c-0,6,ompi,1.521714448928833,hello_c,336,ompi
kubernetes-8/ompi/size_6_hello_c/mpis-6-hello_c-6,6,ompi,1.4874353408813477,hello_c,336,ompi
kubernetes-8/ompi/size_6_hello_c/mpis-6-hello_c-13,6,ompi,1.5054879188537598,hello_c,336,ompi
kubernetes-8/ompi/size_6_hello_c/mpis-6-hello_c-15,6,ompi,1.5094239711761475,hello_c,336,ompi
kubernetes-8/ompi/size_6_hello_c/mpis-6-hello_c-9,6,ompi,1.4788649082183838,hello_c,336,ompi
kubernetes-8/ompi/size_6_hello_c/mpis-6-hello_c-1,6,ompi,1.4938421249389648,hello_c,336,ompi
kubernetes-8/ompi/size_6_hello_c/mpis-6-hello_c-4,6,ompi,1.4967033863067627,hello_c,336,ompi
kubernetes-8/ompi/size_6_hello_c/mpis-6-hello_c-8,6,ompi,1.516021490097046,hello_c,336,ompi
kubernetes-8/ompi/size_6_hello_c/mpis-6-hello_c-14,6,ompi,1.5010693073272705,hello_c,336,ompi
kubernetes-8/ompi/size_6_hello_c/mpis-6-hello_c-5,6,ompi,1.5215377807617188,hello_c,336,ompi
kubernetes-8/ompi/size_6_hello_c/mpis-6-hello_c-7,6,ompi,1.509509801864624,hello_c,336,ompi
kubernetes-8/ompi/size_6_hello_c/mpis-6-hello_c-16,6,ompi,1.5109078884124756,hello_c,336,ompi
kubernetes-8/ompi/size_6_hello_c/mpis-6-hello_c-2,6,ompi,1.515190839767456,hello_c,336,ompi
kubernetes-8/ompi/size_6_hello_c/mpis-6-hello_c-19,6,ompi,1.4982221126556396,hello_c,336,ompi
kubernetes-8/ompi/size_6_hello_c/mpis-6-hello_c-10,6,ompi,1.535003662109375,hello_c,336,ompi
kubernetes-8/ompi/size_6_hello_c/mpis-6-hello_c-18,6,ompi,1.5134620666503906,hello_c,336,ompi
kubernetes-8/ompi/size_6_hello_c/mpis-6-hello_c-12,6,ompi,1.4959735870361328,hello_c,336,ompi
kubernetes-8/ompi/size_6_hello_c/mpis-6-hello_c-17,6,ompi,1.5072154998779297,hello_c,336,ompi
kubernetes-8/ompi/size_1_hello_c/mpis-1-hello_c-8,1,ompi,1.1783485412597656,hello_c,56,ompi
kubernetes-8/ompi/size_1_hello_c/mpis-1-hello_c-12,1,ompi,1.1996941566467285,hello_c,56,ompi
kubernetes-8/ompi/size_1_hello_c/mpis-1-hello_c-17,1,ompi,1.2089107036590576,hello_c,56,ompi
kubernetes-8/ompi/size_1_hello_c/mpis-1-hello_c-3,1,ompi,1.2087202072143555,hello_c,56,ompi
kubernetes-8/ompi/size_1_hello_c/mpis-1-hello_c-14,1,ompi,1.1868970394134521,hello_c,56,ompi
kubernetes-8/ompi/size_1_hello_c/mpis-1-hello_c-10,1,ompi,1.2007763385772705,hello_c,56,ompi
kubernetes-8/ompi/size_1_hello_c/mpis-1-hello_c-16,1,ompi,1.2117946147918701,hello_c,56,ompi
kubernetes-8/ompi/size_1_hello_c/mpis-1-hello_c-0,1,ompi,1.181974172592163,hello_c,56,ompi
kubernetes-8/ompi/size_1_hello_c/mpis-1-hello_c-15,1,ompi,1.1925272941589355,hello_c,56,ompi
kubernetes-8/ompi/size_1_hello_c/mpis-1-hello_c-11,1,ompi,1.2064974308013916,hello_c,56,ompi
kubernetes-8/ompi/size_1_hello_c/mpis-1-hello_c-5,1,ompi,1.171562671661377,hello_c,56,ompi
kubernetes-8/ompi/size_1_hello_c/mpis-1-hello_c-4,1,ompi,1.1903042793273926,hello_c,56,ompi
kubernetes-8/ompi/size_1_hello_c/mpis-1-hello_c-13,1,ompi,1.195655107498169,hello_c,56,ompi
kubernetes-8/ompi/size_1_hello_c/mpis-1-hello_c-19,1,ompi,1.2080984115600586,hello_c,56,ompi
kubernetes-8/ompi/size_1_hello_c/mpis-1-hello_c-2,1,ompi,1.2109041213989258,hello_c,56,ompi
kubernetes-8/ompi/size_1_hello_c/mpis-1-hello_c-1,1,ompi,1.1750478744506836,hello_c,56,ompi
kubernetes-8/ompi/size_1_hello_c/mpis-1-hello_c-18,1,ompi,1.2090754508972168,hello_c,56,ompi
kubernetes-8/ompi/size_1_hello_c/mpis-1-hello_c-7,1,ompi,1.1848912239074707,hello_c,56,ompi
kubernetes-8/ompi/size_1_hello_c/mpis-1-hello_c-6,1,ompi,1.1750750541687012,hello_c,56,ompi
kubernetes-8/ompi/size_1_hello_c/mpis-1-hello_c-9,1,ompi,1.2026066780090332,hello_c,56,ompi
kubernetes-8/ompi/size_5_hello_c-noaff/mpis-5-hello_c-noaff-18,5,ompi,1.3966333866119385,hello_c-noaff,280,ompi-noaff
kubernetes-8/ompi/size_5_hello_c-noaff/mpis-5-hello_c-noaff-11,5,ompi,1.3975729942321777,hello_c-noaff,280,ompi-noaff
kubernetes-8/ompi/size_5_hello_c-noaff/mpis-5-hello_c-noaff-13,5,ompi,1.3903477191925049,hello_c-noaff,280,ompi-noaff
kubernetes-8/ompi/size_5_hello_c-noaff/mpis-5-hello_c-noaff-14,5,ompi,1.386535406112671,hello_c-noaff,280,ompi-noaff
kubernetes-8/ompi/size_5_hello_c-noaff/mpis-5-hello_c-noaff-0,5,ompi,1.3585200309753418,hello_c-noaff,280,ompi-noaff
kubernetes-8/ompi/size_5_hello_c-noaff/mpis-5-hello_c-noaff-5,5,ompi,1.3970580101013184,hello_c-noaff,280,ompi-noaff
kubernetes-8/ompi/size_5_hello_c-noaff/mpis-5-hello_c-noaff-6,5,ompi,1.3727662563323975,hello_c-noaff,280,ompi-noaff
kubernetes-8/ompi/size_5_hello_c-noaff/mpis-5-hello_c-noaff-2,5,ompi,1.3996400833129883,hello_c-noaff,280,ompi-noaff
kubernetes-8/ompi/size_5_hello_c-noaff/mpis-5-hello_c-noaff-16,5,ompi,1.376767635345459,hello_c-noaff,280,ompi-noaff
kubernetes-8/ompi/size_5_hello_c-noaff/mpis-5-hello_c-noaff-19,5,ompi,1.3839607238769531,hello_c-noaff,280,ompi-noaff
kubernetes-8/ompi/size_5_hello_c-noaff/mpis-5-hello_c-noaff-1,5,ompi,1.3822219371795654,hello_c-noaff,280,ompi-noaff
kubernetes-8/ompi/size_5_hello_c-noaff/mpis-5-hello_c-noaff-9,5,ompi,1.3775436878204346,hello_c-noaff,280,ompi-noaff
kubernetes-8/ompi/size_5_hello_c-noaff/mpis-5-hello_c-noaff-8,5,ompi,1.3492228984832764,hello_c-noaff,280,ompi-noaff
kubernetes-8/ompi/size_5_hello_c-noaff/mpis-5-hello_c-noaff-15,5,ompi,1.3719522953033447,hello_c-noaff,280,ompi-noaff
kubernetes-8/ompi/size_5_hello_c-noaff/mpis-5-hello_c-noaff-4,5,ompi,1.3816914558410645,hello_c-noaff,280,ompi-noaff
kubernetes-8/ompi/size_5_hello_c-noaff/mpis-5-hello_c-noaff-12,5,ompi,1.3732578754425049,hello_c-noaff,280,ompi-noaff
kubernetes-8/ompi/size_5_hello_c-noaff/mpis-5-hello_c-noaff-10,5,ompi,1.401277780532837,hello_c-noaff,280,ompi-noaff
kubernetes-8/ompi/size_5_hello_c-noaff/mpis-5-hello_c-noaff-7,5,ompi,1.3754353523254395,hello_c-noaff,280,ompi-noaff
kubernetes-8/ompi/size_5_hello_c-noaff/mpis-5-hello_c-noaff-17,5,ompi,1.3582360744476318,hello_c-noaff,280,ompi-noaff
kubernetes-8/ompi/size_5_hello_c-noaff/mpis-5-hello_c-noaff-3,5,ompi,1.3808314800262451,hello_c-noaff,280,ompi-noaff
kubernetes-8/ompi/size_8_hello_c-noaff/mpis-8-hello_c-noaff-9,8,ompi,1.5847244262695312,hello_c-noaff,448,ompi-noaff
kubernetes-8/ompi/size_8_hello_c-noaff/mpis-8-hello_c-noaff-3,8,ompi,1.5662198066711426,hello_c-noaff,448,ompi-noaff
kubernetes-8/ompi/size_8_hello_c-noaff/mpis-8-hello_c-noaff-14,8,ompi,1.573960781097412,hello_c-noaff,448,ompi-noaff
kubernetes-8/ompi/size_8_hello_c-noaff/mpis-8-hello_c-noaff-2,8,ompi,1.5707662105560303,hello_c-noaff,448,ompi-noaff
kubernetes-8/ompi/size_8_hello_c-noaff/mpis-8-hello_c-noaff-0,8,ompi,1.5388743877410889,hello_c-noaff,448,ompi-noaff
kubernetes-8/ompi/size_8_hello_c-noaff/mpis-8-hello_c-noaff-5,8,ompi,1.5620059967041016,hello_c-noaff,448,ompi-noaff
kubernetes-8/ompi/size_8_hello_c-noaff/mpis-8-hello_c-noaff-10,8,ompi,1.5743587017059326,hello_c-noaff,448,ompi-noaff
kubernetes-8/ompi/size_8_hello_c-noaff/mpis-8-hello_c-noaff-7,8,ompi,1.5460474491119385,hello_c-noaff,448,ompi-noaff
kubernetes-8/ompi/size_8_hello_c-noaff/mpis-8-hello_c-noaff-16,8,ompi,1.5458641052246094,hello_c-noaff,448,ompi-noaff
kubernetes-8/ompi/size_8_hello_c-noaff/mpis-8-hello_c-noaff-8,8,ompi,1.549712896347046,hello_c-noaff,448,ompi-noaff
kubernetes-8/ompi/size_8_hello_c-noaff/mpis-8-hello_c-noaff-6,8,ompi,1.577951192855835,hello_c-noaff,448,ompi-noaff
kubernetes-8/ompi/size_8_hello_c-noaff/mpis-8-hello_c-noaff-12,8,ompi,1.5837583541870117,hello_c-noaff,448,ompi-noaff
kubernetes-8/ompi/size_8_hello_c-noaff/mpis-8-hello_c-noaff-15,8,ompi,1.5318586826324463,hello_c-noaff,448,ompi-noaff
kubernetes-8/ompi/size_8_hello_c-noaff/mpis-8-hello_c-noaff-1,8,ompi,1.5829336643218994,hello_c-noaff,448,ompi-noaff
kubernetes-8/ompi/size_8_hello_c-noaff/mpis-8-hello_c-noaff-13,8,ompi,1.5631988048553467,hello_c-noaff,448,ompi-noaff
kubernetes-8/ompi/size_8_hello_c-noaff/mpis-8-hello_c-noaff-18,8,ompi,1.589606761932373,hello_c-noaff,448,ompi-noaff
kubernetes-8/ompi/size_8_hello_c-noaff/mpis-8-hello_c-noaff-11,8,ompi,1.5816798210144043,hello_c-noaff,448,ompi-noaff
kubernetes-8/ompi/size_8_hello_c-noaff/mpis-8-hello_c-noaff-17,8,ompi,1.5768859386444092,hello_c-noaff,448,ompi-noaff
kubernetes-8/ompi/size_8_hello_c-noaff/mpis-8-hello_c-noaff-19,8,ompi,1.561220407485962,hello_c-noaff,448,ompi-noaff
kubernetes-8/ompi/size_8_hello_c-noaff/mpis-8-hello_c-noaff-4,8,ompi,1.5691630840301514,hello_c-noaff,448,ompi-noaff
kubernetes-8/ompi/size_7_hello_c-noaff/mpis-7-hello_c-noaff-19,7,ompi,1.4505658149719238,hello_c-noaff,392,ompi-noaff
kubernetes-8/ompi/size_7_hello_c-noaff/mpis-7-hello_c-noaff-2,7,ompi,1.4429891109466553,hello_c-noaff,392,ompi-noaff
kubernetes-8/ompi/size_7_hello_c-noaff/mpis-7-hello_c-noaff-10,7,ompi,1.4651131629943848,hello_c-noaff,392,ompi-noaff
kubernetes-8/ompi/size_7_hello_c-noaff/mpis-7-hello_c-noaff-8,7,ompi,1.4553492069244385,hello_c-noaff,392,ompi-noaff
kubernetes-8/ompi/size_7_hello_c-noaff/mpis-7-hello_c-noaff-4,7,ompi,1.4443411827087402,hello_c-noaff,392,ompi-noaff
kubernetes-8/ompi/size_7_hello_c-noaff/mpis-7-hello_c-noaff-16,7,ompi,1.4861207008361816,hello_c-noaff,392,ompi-noaff
kubernetes-8/ompi/size_7_hello_c-noaff/mpis-7-hello_c-noaff-1,7,ompi,1.4254436492919922,hello_c-noaff,392,ompi-noaff
kubernetes-8/ompi/size_7_hello_c-noaff/mpis-7-hello_c-noaff-11,7,ompi,1.4425427913665771,hello_c-noaff,392,ompi-noaff
kubernetes-8/ompi/size_7_hello_c-noaff/mpis-7-hello_c-noaff-5,7,ompi,1.4265520572662354,hello_c-noaff,392,ompi-noaff
kubernetes-8/ompi/size_7_hello_c-noaff/mpis-7-hello_c-noaff-18,7,ompi,1.4385986328125,hello_c-noaff,392,ompi-noaff
kubernetes-8/ompi/size_7_hello_c-noaff/mpis-7-hello_c-noaff-0,7,ompi,1.4484977722167969,hello_c-noaff,392,ompi-noaff
kubernetes-8/ompi/size_7_hello_c-noaff/mpis-7-hello_c-noaff-3,7,ompi,1.4310061931610107,hello_c-noaff,392,ompi-noaff
kubernetes-8/ompi/size_7_hello_c-noaff/mpis-7-hello_c-noaff-15,7,ompi,1.4705944061279297,hello_c-noaff,392,ompi-noaff
kubernetes-8/ompi/size_7_hello_c-noaff/mpis-7-hello_c-noaff-7,7,ompi,1.4512934684753418,hello_c-noaff,392,ompi-noaff
kubernetes-8/ompi/size_7_hello_c-noaff/mpis-7-hello_c-noaff-9,7,ompi,1.4603641033172607,hello_c-noaff,392,ompi-noaff
kubernetes-8/ompi/size_7_hello_c-noaff/mpis-7-hello_c-noaff-17,7,ompi,1.4570343494415283,hello_c-noaff,392,ompi-noaff
kubernetes-8/ompi/size_7_hello_c-noaff/mpis-7-hello_c-noaff-12,7,ompi,1.4510717391967773,hello_c-noaff,392,ompi-noaff
kubernetes-8/ompi/size_7_hello_c-noaff/mpis-7-hello_c-noaff-14,7,ompi,1.4554624557495117,hello_c-noaff,392,ompi-noaff
kubernetes-8/ompi/size_7_hello_c-noaff/mpis-7-hello_c-noaff-13,7,ompi,1.4565420150756836,hello_c-noaff,392,ompi-noaff
kubernetes-8/ompi/size_7_hello_c-noaff/mpis-7-hello_c-noaff-6,7,ompi,1.4764556884765625,hello_c-noaff,392,ompi-noaff
