,minicluster_size,mpitype,runtime,analysis,ranks,name
kubernetes-8/ompi/size_5_hello_cxx-noaff/mpis-5-hello_cxx-noaff-12,5,ompi,1.3932220935821533,hello_cxx-noaff,280,ompi-noaff
kubernetes-8/ompi/size_5_hello_cxx-noaff/mpis-5-hello_cxx-noaff-2,5,ompi,1.368638277053833,hello_cxx-noaff,280,ompi-noaff
kubernetes-8/ompi/size_5_hello_cxx-noaff/mpis-5-hello_cxx-noaff-4,5,ompi,1.381235122680664,hello_cxx-noaff,280,ompi-noaff
kubernetes-8/ompi/size_5_hello_cxx-noaff/mpis-5-hello_cxx-noaff-0,5,ompi,1.3762054443359375,hello_cxx-noaff,280,ompi-noaff
kubernetes-8/ompi/size_5_hello_cxx-noaff/mpis-5-hello_cxx-noaff-10,5,ompi,1.3862738609313965,hello_cxx-noaff,280,ompi-noaff
kubernetes-8/ompi/size_5_hello_cxx-noaff/mpis-5-hello_cxx-noaff-14,5,ompi,1.381998062133789,hello_cxx-noaff,280,ompi-noaff
kubernetes-8/ompi/size_5_hello_cxx-noaff/mpis-5-hello_cxx-noaff-15,5,ompi,1.3991987705230713,hello_cxx-noaff,280,ompi-noaff
kubernetes-8/ompi/size_5_hello_cxx-noaff/mpis-5-hello_cxx-noaff-17,5,ompi,1.389129638671875,hello_cxx-noaff,280,ompi-noaff
kubernetes-8/ompi/size_5_hello_cxx-noaff/mpis-5-hello_cxx-noaff-16,5,ompi,1.4220142364501953,hello_cxx-noaff,280,ompi-noaff
kubernetes-8/ompi/size_5_hello_cxx-noaff/mpis-5-hello_cxx-noaff-6,5,ompi,1.398383378982544,hello_cxx-noaff,280,ompi-noaff
kubernetes-8/ompi/size_5_hello_cxx-noaff/mpis-5-hello_cxx-noaff-18,5,ompi,1.3825488090515137,hello_cxx-noaff,280,ompi-noaff
kubernetes-8/ompi/size_5_hello_cxx-noaff/mpis-5-hello_cxx-noaff-8,5,ompi,1.404522180557251,hello_cxx-noaff,280,ompi-noaff
kubernetes-8/ompi/size_5_hello_cxx-noaff/mpis-5-hello_cxx-noaff-3,5,ompi,1.3549623489379883,hello_cxx-noaff,280,ompi-noaff
kubernetes-8/ompi/size_5_hello_cxx-noaff/mpis-5-hello_cxx-noaff-7,5,ompi,1.4021944999694824,hello_cxx-noaff,280,ompi-noaff
kubernetes-8/ompi/size_5_hello_cxx-noaff/mpis-5-hello_cxx-noaff-11,5,ompi,1.3848044872283936,hello_cxx-noaff,280,ompi-noaff
kubernetes-8/ompi/size_5_hello_cxx-noaff/mpis-5-hello_cxx-noaff-13,5,ompi,1.3870010375976562,hello_cxx-noaff,280,ompi-noaff
kubernetes-8/ompi/size_5_hello_cxx-noaff/mpis-5-hello_cxx-noaff-5,5,ompi,1.3712563514709473,hello_cxx-noaff,280,ompi-noaff
kubernetes-8/ompi/size_5_hello_cxx-noaff/mpis-5-hello_cxx-noaff-9,5,ompi,1.3887608051300049,hello_cxx-noaff,280,ompi-noaff
kubernetes-8/ompi/size_5_hello_cxx-noaff/mpis-5-hello_cxx-noaff-1,5,ompi,1.379342794418335,hello_cxx-noaff,280,ompi-noaff
kubernetes-8/ompi/size_5_hello_cxx-noaff/mpis-5-hello_cxx-noaff-19,5,ompi,1.3943395614624023,hello_cxx-noaff,280,ompi-noaff
kubernetes-8/ompi/size_3_hello_cxx/mpis-3-hello_cxx-14,3,ompi,1.3356080055236816,hello_cxx,168,ompi
