,minicluster_size,mpitype,runtime,analysis,ranks,name
kubernetes-8/ompi/size_1_hello_usempi-noaff/mpis-1-hello_usempi-noaff-15,1,ompi,1.1540958881378174,hello_usempi-noaff,56,ompi-noaff
kubernetes-8/ompi/size_1_hello_usempi-noaff/mpis-1-hello_usempi-noaff-0,1,ompi,1.1438627243041992,hello_usempi-noaff,56,ompi-noaff
kubernetes-8/ompi/size_1_hello_usempi-noaff/mpis-1-hello_usempi-noaff-3,1,ompi,1.178034782409668,hello_usempi-noaff,56,ompi-noaff
kubernetes-8/ompi/size_1_hello_usempi-noaff/mpis-1-hello_usempi-noaff-7,1,ompi,1.1640417575836182,hello_usempi-noaff,56,ompi-noaff
kubernetes-8/ompi/size_1_hello_usempi-noaff/mpis-1-hello_usempi-noaff-2,1,ompi,1.1559865474700928,hello_usempi-noaff,56,ompi-noaff
kubernetes-8/ompi/size_1_hello_usempi-noaff/mpis-1-hello_usempi-noaff-1,1,ompi,1.1345915794372559,hello_usempi-noaff,56,ompi-noaff
kubernetes-8/ompi/size_1_hello_usempi-noaff/mpis-1-hello_usempi-noaff-19,1,ompi,1.1864914894104004,hello_usempi-noaff,56,ompi-noaff
kubernetes-8/ompi/size_1_hello_usempi-noaff/mpis-1-hello_usempi-noaff-6,1,ompi,1.1466548442840576,hello_usempi-noaff,56,ompi-noaff
kubernetes-8/ompi/size_1_hello_usempi-noaff/mpis-1-hello_usempi-noaff-8,1,ompi,1.1238389015197754,hello_usempi-noaff,56,ompi-noaff
kubernetes-8/ompi/size_1_hello_usempi-noaff/mpis-1-hello_usempi-noaff-14,1,ompi,1.1607897281646729,hello_usempi-noaff,56,ompi-noaff
kubernetes-8/ompi/size_1_hello_usempi-noaff/mpis-1-hello_usempi-noaff-9,1,ompi,1.1369028091430664,hello_usempi-noaff,56,ompi-noaff
kubernetes-8/ompi/size_1_hello_usempi-noaff/mpis-1-hello_usempi-noaff-11,1,ompi,1.1746551990509033,hello_usempi-noaff,56,ompi-noaff
kubernetes-8/ompi/size_1_hello_usempi-noaff/mpis-1-hello_usempi-noaff-18,1,ompi,1.1781830787658691,hello_usempi-noaff,56,ompi-noaff
kubernetes-8/ompi/size_1_hello_usempi-noaff/mpis-1-hello_usempi-noaff-12,1,ompi,1.1676959991455078,hello_usempi-noaff,56,ompi-noaff
kubernetes-8/ompi/size_1_hello_usempi-noaff/mpis-1-hello_usempi-noaff-4,1,ompi,1.1786079406738281,hello_usempi-noaff,56,ompi-noaff
kubernetes-8/ompi/size_1_hello_usempi-noaff/mpis-1-hello_usempi-noaff-16,1,ompi,1.1396758556365967,hello_usempi-noaff,56,ompi-noaff
kubernetes-8/ompi/size_1_hello_usempi-noaff/mpis-1-hello_usempi-noaff-13,1,ompi,1.165726661682129,hello_usempi-noaff,56,ompi-noaff
kubernetes-8/ompi/size_1_hello_usempi-noaff/mpis-1-hello_usempi-noaff-5,1,ompi,1.1516335010528564,hello_usempi-noaff,56,ompi-noaff
kubernetes-8/ompi/size_1_hello_usempi-noaff/mpis-1-hello_usempi-noaff-17,1,ompi,1.1393029689788818,hello_usempi-noaff,56,ompi-noaff
kubernetes-8/ompi/size_1_hello_usempi-noaff/mpis-1-hello_usempi-noaff-10,1,ompi,1.1324653625488281,hello_usempi-noaff,56,ompi-noaff
kubernetes-8/ompi/size_4_hello_usempi-noaff/mpis-4-hello_usempi-noaff-0,4,ompi,1.3372642993927002,hello_usempi-noaff,224,ompi-noaff
kubernetes-8/ompi/size_4_hello_usempi-noaff/mpis-4-hello_usempi-noaff-19,4,ompi,1.3379554748535156,hello_usempi-noaff,224,ompi-noaff
kubernetes-8/ompi/size_4_hello_usempi-noaff/mpis-4-hello_usempi-noaff-12,4,ompi,1.328334093093872,hello_usempi-noaff,224,ompi-noaff
