,minicluster_size,mpitype,runtime,analysis,ranks,name
kubernetes-8/ompi/size_2_connectivity_c/mpis-2-connectivity_c-10,2,ompi,9.84651255607605,connectivity_c,112,ompi
kubernetes-8/ompi/size_2_connectivity_c/mpis-2-connectivity_c-11,2,ompi,10.125563859939575,connectivity_c,112,ompi
kubernetes-8/ompi/size_2_connectivity_c/mpis-2-connectivity_c-6,2,ompi,9.491338729858398,connectivity_c,112,ompi
kubernetes-8/ompi/size_2_connectivity_c/mpis-2-connectivity_c-5,2,ompi,10.226537466049194,connectivity_c,112,ompi
kubernetes-8/ompi/size_2_connectivity_c/mpis-2-connectivity_c-12,2,ompi,10.029247760772705,connectivity_c,112,ompi
kubernetes-8/ompi/size_2_connectivity_c/mpis-2-connectivity_c-19,2,ompi,10.111268758773804,connectivity_c,112,ompi
kubernetes-8/ompi/size_2_connectivity_c/mpis-2-connectivity_c-18,2,ompi,9.994853258132935,connectivity_c,112,ompi
kubernetes-8/ompi/size_2_connectivity_c/mpis-2-connectivity_c-2,2,ompi,9.728000164031982,connectivity_c,112,ompi
kubernetes-8/ompi/size_2_connectivity_c/mpis-2-connectivity_c-7,2,ompi,9.943918943405151,connectivity_c,112,ompi
kubernetes-8/ompi/size_2_connectivity_c/mpis-2-connectivity_c-0,2,ompi,9.961146116256714,connectivity_c,112,ompi
kubernetes-8/ompi/size_2_connectivity_c/mpis-2-connectivity_c-9,2,ompi,10.003302812576294,connectivity_c,112,ompi
kubernetes-8/ompi/size_2_connectivity_c/mpis-2-connectivity_c-17,2,ompi,10.056965589523315,connectivity_c,112,ompi
kubernetes-8/ompi/size_2_connectivity_c/mpis-2-connectivity_c-3,2,ompi,10.21815276145935,connectivity_c,112,ompi
kubernetes-8/ompi/size_2_connectivity_c/mpis-2-connectivity_c-8,2,ompi,9.956514358520508,connectivity_c,112,ompi
kubernetes-8/ompi/size_2_connectivity_c/mpis-2-connectivity_c-13,2,ompi,10.105213403701782,connectivity_c,112,ompi
kubernetes-8/ompi/size_2_connectivity_c/mpis-2-connectivity_c-14,2,ompi,9.898253440856934,connectivity_c,112,ompi
kubernetes-8/ompi/size_2_connectivity_c/mpis-2-connectivity_c-16,2,ompi,9.931020736694336,connectivity_c,112,ompi
kubernetes-8/ompi/size_2_connectivity_c/mpis-2-connectivity_c-15,2,ompi,9.940059900283813,connectivity_c,112,ompi
kubernetes-8/ompi/size_2_connectivity_c/mpis-2-connectivity_c-4,2,ompi,10.000540733337402,connectivity_c,112,ompi
kubernetes-8/ompi/size_2_connectivity_c/mpis-2-connectivity_c-1,2,ompi,10.12543249130249,connectivity_c,112,ompi
kubernetes-8/ompi/size_1_connectivity_c/mpis-1-connectivity_c-4,1,ompi,1.2060918807983398,connectivity_c,56,ompi
kubernetes-8/ompi/size_1_connectivity_c/mpis-1-connectivity_c-18,1,ompi,1.2051787376403809,connectivity_c,56,ompi
kubernetes-8/ompi/size_1_connectivity_c/mpis-1-connectivity_c-8,1,ompi,1.1893510818481445,connectivity_c,56,ompi
kubernetes-8/ompi/size_1_connectivity_c/mpis-1-connectivity_c-13,1,ompi,1.2244362831115723,connectivity_c,56,ompi
kubernetes-8/ompi/size_1_connectivity_c/mpis-1-connectivity_c-19,1,ompi,1.2019944190979004,connectivity_c,56,ompi
kubernetes-8/ompi/size_1_connectivity_c/mpis-1-connectivity_c-10,1,ompi,1.2069997787475586,connectivity_c,56,ompi
kubernetes-8/ompi/size_1_connectivity_c/mpis-1-connectivity_c-7,1,ompi,1.2194452285766602,connectivity_c,56,ompi
kubernetes-8/ompi/size_1_connectivity_c/mpis-1-connectivity_c-2,1,ompi,1.1997241973876953,connectivity_c,56,ompi
kubernetes-8/ompi/size_1_connectivity_c/mpis-1-connectivity_c-12,1,ompi,1.1973021030426025,connectivity_c,56,ompi
kubernetes-8/ompi/size_1_connectivity_c/mpis-1-connectivity_c-5,1,ompi,1.1951892375946045,connectivity_c,56,ompi
kubernetes-8/ompi/size_1_connectivity_c/mpis-1-connectivity_c-16,1,ompi,1.2016656398773193,connectivity_c,56,ompi
kubernetes-8/ompi/size_1_connectivity_c/mpis-1-connectivity_c-15,1,ompi,1.1875786781311035,connectivity_c,56,ompi
kubernetes-8/ompi/size_1_connectivity_c/mpis-1-connectivity_c-11,1,ompi,1.2035903930664062,connectivity_c,56,ompi
kubernetes-8/ompi/size_1_connectivity_c/mpis-1-connectivity_c-9,1,ompi,1.207179069519043,connectivity_c,56,ompi
kubernetes-8/ompi/size_1_connectivity_c/mpis-1-connectivity_c-0,1,ompi,1.2083277702331543,connectivity_c,56,ompi
kubernetes-8/ompi/size_1_connectivity_c/mpis-1-connectivity_c-17,1,ompi,1.1985249519348145,connectivity_c,56,ompi
kubernetes-8/ompi/size_1_connectivity_c/mpis-1-connectivity_c-14,1,ompi,1.2014439105987549,connectivity_c,56,ompi
kubernetes-8/ompi/size_1_connectivity_c/mpis-1-connectivity_c-3,1,ompi,1.18560791015625,connectivity_c,56,ompi
kubernetes-8/ompi/size_1_connectivity_c/mpis-1-connectivity_c-6,1,ompi,1.1954920291900635,connectivity_c,56,ompi
kubernetes-8/ompi/size_1_connectivity_c/mpis-1-connectivity_c-1,1,ompi,1.1957461833953857,connectivity_c,56,ompi
kubernetes-8/ompi/size_1_connectivity_c-noaff/mpis-1-connectivity_c-noaff-3,1,ompi,1.2299351692199707,connectivity_c-noaff,56,ompi-noaff
kubernetes-8/ompi/size_1_connectivity_c-noaff/mpis-1-connectivity_c-noaff-14,1,ompi,1.1928465366363525,connectivity_c-noaff,56,ompi-noaff
kubernetes-8/ompi/size_1_connectivity_c-noaff/mpis-1-connectivity_c-noaff-18,1,ompi,1.2093794345855713,connectivity_c-noaff,56,ompi-noaff
kubernetes-8/ompi/size_1_connectivity_c-noaff/mpis-1-connectivity_c-noaff-0,1,ompi,1.1687309741973877,connectivity_c-noaff,56,ompi-noaff
kubernetes-8/ompi/size_1_connectivity_c-noaff/mpis-1-connectivity_c-noaff-17,1,ompi,1.2533137798309326,connectivity_c-noaff,56,ompi-noaff
kubernetes-8/ompi/size_1_connectivity_c-noaff/mpis-1-connectivity_c-noaff-9,1,ompi,1.2477691173553467,connectivity_c-noaff,56,ompi-noaff
kubernetes-8/ompi/size_1_connectivity_c-noaff/mpis-1-connectivity_c-noaff-10,1,ompi,1.2390871047973633,connectivity_c-noaff,56,ompi-noaff
kubernetes-8/ompi/size_1_connectivity_c-noaff/mpis-1-connectivity_c-noaff-6,1,ompi,1.2484712600708008,connectivity_c-noaff,56,ompi-noaff
kubernetes-8/ompi/size_1_connectivity_c-noaff/mpis-1-connectivity_c-noaff-12,1,ompi,1.2800683975219727,connectivity_c-noaff,56,ompi-noaff
kubernetes-8/ompi/size_1_connectivity_c-noaff/mpis-1-connectivity_c-noaff-4,1,ompi,1.233842372894287,connectivity_c-noaff,56,ompi-noaff
kubernetes-8/ompi/size_1_connectivity_c-noaff/mpis-1-connectivity_c-noaff-13,1,ompi,1.2089691162109375,connectivity_c-noaff,56,ompi-noaff
