,minicluster_size,name,fluxsubmit_time,lammps_time,ranks,timesteps_per_second,cluster_time
k8s-size-64-hpc6a.48xlarge/lmp-32-3-minicluster-size-32,32,minicluster-32,46.55,35.0,3008,3.451,58.858000000000004
k8s-size-64-hpc6a.48xlarge/lmp-8-10-minicluster-size-8,8,minicluster-8,85.67,77.0,752,1.328,47.28599999999999
k8s-size-64-hpc6a.48xlarge/lmp-16-9-minicluster-size-16,16,minicluster-16,62.37,52.0,1504,2.216,57.635
k8s-size-64-hpc6a.48xlarge/lmp-32-21-minicluster-size-32,32,minicluster-32,46.96,35.0,3008,3.282,53.489
k8s-size-64-hpc6a.48xlarge/lmp-8-3-minicluster-size-8,8,minicluster-8,84.82,75.0,752,1.365,48.509000000000015
k8s-size-64-hpc6a.48xlarge/lmp-16-18-minicluster-size-16,16,minicluster-16,63.08,54.0,1504,2.336,54.241
k8s-size-64-hpc6a.48xlarge/lmp-8-13-minicluster-size-8,8,minicluster-8,84.81,75.0,752,1.384,48.156000000000006
k8s-size-64-hpc6a.48xlarge/lmp-8-2-minicluster-size-8,8,minicluster-8,83.62,75.0,752,1.371,69.751
k8s-size-64-hpc6a.48xlarge/lmp-16-11-minicluster-size-16,16,minicluster-16,61.98,51.0,1504,2.315,49.224
k8s-size-64-hpc6a.48xlarge/lmp-64-5-minicluster-size-64,64,minicluster-64,44.03,33.0,6016,3.989,57.863
k8s-size-64-hpc6a.48xlarge/lmp-64-16-minicluster-size-64,64,minicluster-64,74.92,63.0,6016,1.814,56.27499999999999
k8s-size-64-hpc6a.48xlarge/lmp-16-15-minicluster-size-16,16,minicluster-16,60.01,51.0,1504,2.219,47.969
k8s-size-64-hpc6a.48xlarge/lmp-16-12-minicluster-size-16,16,minicluster-16,65.34,54.0,1504,2.29,52.086
k8s-size-64-hpc6a.48xlarge/lmp-8-1-minicluster-size-8,8,minicluster-8,85.93,76.0,752,1.36,61.522999999999996
k8s-size-64-hpc6a.48xlarge/lmp-8-19-minicluster-size-8,8,minicluster-8,91.37,83.0,752,1.362,53.382000000000005
