,time_seconds,event,pod,size,experiment,iteration
0,34.563,watch_create,all,123,pods,10
1,42.418,watch_delete,all,123,pods,10
2,0.0,PodScheduled,pod-0,123,pods,10
3,0.0,Initialized,pod-0,123,pods,10
4,1.0,Ready,pod-0,123,pods,10
5,1.0,ContainersReady,pod-0,123,pods,10
6,0.0,PodScheduled,pod-1,123,pods,10
7,0.0,Initialized,pod-1,123,pods,10
8,2.0,Ready,pod-1,123,pods,10
9,2.0,ContainersReady,pod-1,123,pods,10
10,0.0,PodScheduled,pod-2,123,pods,10
11,0.0,Initialized,pod-2,123,pods,10
12,1.0,Ready,pod-2,123,pods,10
13,1.0,ContainersReady,pod-2,123,pods,10
14,0.0,PodScheduled,pod-3,123,pods,10
15,0.0,Initialized,pod-3,123,pods,10
16,1.0,Ready,pod-3,123,pods,10
17,1.0,ContainersReady,pod-3,123,pods,10
18,0.0,PodScheduled,pod-4,123,pods,10
19,0.0,Initialized,pod-4,123,pods,10
20,1.0,Ready,pod-4,123,pods,10
21,1.0,ContainersReady,pod-4,123,pods,10
22,0.0,PodScheduled,pod-5,123,pods,10
23,0.0,Initialized,pod-5,123,pods,10
24,1.0,Ready,pod-5,123,pods,10
25,1.0,ContainersReady,pod-5,123,pods,10
26,0.0,PodScheduled,pod-6,123,pods,10
27,0.0,Initialized,pod-6,123,pods,10
28,1.0,Ready,pod-6,123,pods,10
29,1.0,ContainersReady,pod-6,123,pods,10
30,0.0,PodScheduled,pod-7,123,pods,10
31,0.0,Initialized,pod-7,123,pods,10
32,1.0,Ready,pod-7,123,pods,10
33,1.0,ContainersReady,pod-7,123,pods,10
34,0.0,PodScheduled,pod-8,123,pods,10
35,0.0,Initialized,pod-8,123,pods,10
36,2.0,Ready,pod-8,123,pods,10
37,2.0,ContainersReady,pod-8,123,pods,10
38,0.0,PodScheduled,pod-9,123,pods,10
39,0.0,Initialized,pod-9,123,pods,10
40,2.0,Ready,pod-9,123,pods,10
41,2.0,ContainersReady,pod-9,123,pods,10
42,0.0,PodScheduled,pod-10,123,pods,10
43,0.0,Initialized,pod-10,123,pods,10
44,1.0,Ready,pod-10,123,pods,10
