root
Sleeping for 10 seconds waiting for network...
METADATA START {"pods":2,"completions":2,"metricName":"network-osu-benchmark","metricDescription":"point to point MPI benchmarks","metricType":"standalone","metricOptions":{"completions":0,"rate":10},"metricListOptions":{"commands":["osu_get_latency","osu_put_latency","osu_acc_latency","osu_fop_latency","osu_get_acc_latency"]}}
METADATA END
METRICS OPERATOR COLLECTION START
METRICS OPERATOR TIMEPOINT
mpirun --hostfile ./hostfile.txt --allow-run-as-root -np 2 ./osu_get_latency
# OSU MPI_Get latency Test v5.8
# Window creation: MPI_Win_allocate
# Synchronization: MPI_Win_flush
# Size          Latency (us)
1                       0.09
2                       0.09
4                       0.09
8                       0.09
16                      0.09
32                      0.09
64                      0.09
128                     0.09
256                     0.09
512                     0.09
1024                    0.10
2048                    0.11
4096                    0.13
8192                    0.15
16384                   0.40
32768                   0.92
65536                   1.67
131072                  2.91
262144                  6.77
524288                 17.89
1048576                59.55
2097152               128.41
4194304               312.94
METRICS OPERATOR TIMEPOINT
mpirun --hostfile ./hostfile.txt --allow-run-as-root -np 2 ./osu_put_latency
# OSU MPI_Put Latency Test v5.8
# Window creation: MPI_Win_allocate
# Synchronization: MPI_Win_flush
# Size          Latency (us)
1                       0.09
2                       0.08
4                       0.08
8                       0.08
16                      0.08
32                      0.08
64                      0.08
128                     0.08
256                     0.09
512                     0.09
1024                    0.10
2048                    0.11
4096                    0.14
8192                    0.20
16384                   0.49
32768                   1.12
65536                   2.69
131072                  5.22
262144                 10.33
524288                 15.50
1048576                57.91
2097152               160.47
4194304               310.15
METRICS OPERATOR TIMEPOINT
mpirun --hostfile ./hostfile.txt --allow-run-as-root -np 2 ./osu_acc_latency
# OSU MPI_Accumulate latency Test v5.8
# Window creation: MPI_Win_allocate
# Synchronization: MPI_Win_flush
# Size          Latency (us)
1                       0.17
2                       0.17
4                       0.17
8                       0.17
16                      0.17
32                      0.18
64                      0.20
128                     0.24
256                     0.31
512                     0.46
1024                    0.72
2048                    1.27
4096                    2.38
8192                    4.58
16384                   9.11
32768                  17.89
65536                  35.56
131072                 70.70
262144                141.18
524288                283.55
1048576               568.02
2097152              1138.28
4194304              2277.74
METRICS OPERATOR TIMEPOINT
mpirun --hostfile ./hostfile.txt --allow-run-as-root -np 2 ./osu_fop_latency
# OSU MPI_Fetch_and_op latency Test v5.8
# Window creation: MPI_Win_allocate
# Synchronization: MPI_Win_flush
# Size          Latency (us)
8                       0.17
METRICS OPERATOR TIMEPOINT
mpirun --hostfile ./hostfile.txt --allow-run-as-root -np 2 ./osu_get_acc_latency
# OSU MPI_Get_accumulate latency Test v5.8
# Window creation: MPI_Win_create
# Synchronization: MPI_Win_lock/unlock
# Size          Latency (us)
1                       2.51
2                       2.51
4                       2.50
8                       2.51
16                      2.52
32                      2.55
64                      2.56
128                     2.64
256                     2.70
512                     2.87
1024                    3.21
2048                    3.91
4096                    5.23
8192                    9.73
16384                  18.87
32768                  37.53
65536                  74.28
131072                146.91
262144                298.05
524288                608.83
1048576              1227.72
2097152              2473.98
4194304              5030.36
METRICS OPERATOR COLLECTION END
