root
Sleeping for 10 seconds waiting for network...
METADATA START {"pods":2,"completions":2,"metricName":"network-osu-benchmark","metricDescription":"point to point MPI benchmarks","metricType":"standalone","metricOptions":{"completions":0,"rate":10},"metricListOptions":{"commands":["osu_acc_latency","osu_fop_latency","osu_get_acc_latency","osu_get_latency","osu_put_latency"]}}
METADATA END
METRICS OPERATOR COLLECTION START
METRICS OPERATOR TIMEPOINT
mpirun --hostfile ./hostfile.txt --allow-run-as-root -np 2 ./osu_acc_latency
# OSU MPI_Accumulate latency Test v5.8
# Window creation: MPI_Win_allocate
# Synchronization: MPI_Win_flush
# Size          Latency (us)
1                       0.16
2                       0.17
4                       0.17
8                       0.17
16                      0.18
32                      0.18
64                      0.20
128                     0.24
256                     0.31
512                     0.45
1024                    0.72
2048                    1.28
4096                    2.38
8192                    4.59
16384                   9.11
32768                  17.91
65536                  35.59
131072                 70.83
262144                141.52
524288                284.43
1048576               568.86
2097152              1139.58
4194304              2280.00
METRICS OPERATOR TIMEPOINT
mpirun --hostfile ./hostfile.txt --allow-run-as-root -np 2 ./osu_fop_latency
# OSU MPI_Fetch_and_op latency Test v5.8
# Window creation: MPI_Win_allocate
# Synchronization: MPI_Win_flush
# Size          Latency (us)
8                       0.18
METRICS OPERATOR TIMEPOINT
mpirun --hostfile ./hostfile.txt --allow-run-as-root -np 2 ./osu_get_acc_latency
# OSU MPI_Get_accumulate latency Test v5.8
# Window creation: MPI_Win_create
# Synchronization: MPI_Win_lock/unlock
# Size          Latency (us)
1                       2.47
2                       2.51
4                       2.49
8                       2.49
16                      2.50
32                      2.50
64                      2.51
128                     2.62
256                     2.66
512                     2.83
1024                    3.18
2048                    3.89
4096                    5.17
8192                    9.70
16384                  18.75
32768                  36.89
65536                  73.00
131072                145.53
262144                295.19
524288                608.09
1048576              1212.82
2097152              2430.14
4194304              4927.56
METRICS OPERATOR TIMEPOINT
mpirun --hostfile ./hostfile.txt --allow-run-as-root -np 2 ./osu_get_latency
# OSU MPI_Get latency Test v5.8
# Window creation: MPI_Win_allocate
# Synchronization: MPI_Win_flush
# Size          Latency (us)
1                       0.09
2                       0.09
4                       0.09
8                       0.09
16                      0.09
32                      0.09
64                      0.09
128                     0.09
256                     0.09
512                     0.09
1024                    0.10
2048                    0.11
4096                    0.12
8192                    0.16
16384                   0.38
32768                   0.95
65536                   1.79
131072                  4.31
262144                  7.88
524288                 13.43
1048576                57.31
2097152               138.49
4194304               302.08
METRICS OPERATOR TIMEPOINT
mpirun --hostfile ./hostfile.txt --allow-run-as-root -np 2 ./osu_put_latency
# OSU MPI_Put Latency Test v5.8
# Window creation: MPI_Win_allocate
# Synchronization: MPI_Win_flush
# Size          Latency (us)
1                       0.09
2                       0.09
4                       0.09
8                       0.08
16                      0.08
32                      0.08
64                      0.08
128                     0.08
256                     0.08
512                     0.09
1024                    0.10
2048                    0.11
4096                    0.14
8192                    0.21
16384                   0.49
32768                   1.47
65536                   2.45
131072                  5.69
262144                 10.81
524288                 18.22
1048576                63.87
2097152               158.67
4194304               302.86
METRICS OPERATOR COLLECTION END
