,size,experiment,scheduler,log_time,external_recorded_time,submit_to_completion_time
134,4,size-4,kueue,3,0.190584,491.121891
135,4,size-4,kueue,2,0.091824,952.694707
136,6,size-6,kueue,35,0.16087,406.381328
137,2,size-2,kueue,2,0.292459,616.556621
138,3,size-3,kueue,1,0.13564,369.545366
139,4,size-4,kueue,33,0.294977,287.250798
140,6,size-6,kueue,43,0.218357,251.725618
141,4,size-4,kueue,32,0.094531,736.900282
142,6,size-6,kueue,39,0.080099,821.431794
143,3,size-3,kueue,1,0.165367,171.526787
144,3,size-3,kueue,2,0.318487,325.708977
145,2,size-2,kueue,1,0.208815,138.912264
146,6,size-6,kueue,10,0.089225,863.306161
147,5,size-5,kueue,42,0.087017,906.398134
148,5,size-5,kueue,42,0.104431,699.503454
149,2,size-2,kueue,1,0.185986,15.108917
