,size,experiment,scheduler,log_time,external_recorded_time,submit_to_completion_time
0,2,size-2,fluence,2,0.349601,136.296161
1,6,size-6,fluence,3,0.260252,955.234369
2,5,size-5,fluence,1,0.159924,1236.750552
3,4,size-4,fluence,2,0.531339,439.43593
4,2,size-2,fluence,2,0.372789,697.495495
5,3,size-3,fluence,2,0.309155,175.593236
6,4,size-4,fluence,2,0.092576,1275.52068
7,2,size-2,fluence,1,0.11827,1107.164634
8,6,size-6,fluence,2,0.218891,827.120856
9,4,size-4,fluence,3,0.170163,1073.431693
10,3,size-3,fluence,3,0.25659,431.013826
11,4,size-4,fluence,2,0.350252,744.186112
12,6,size-6,fluence,1,0.094975,1194.615012
13,6,size-6,fluence,2,0.544794,540.043356
14,4,size-4,fluence,3,0.545962,870.018697
15,3,size-3,fluence,1,0.089941,1236.62828
16,5,size-5,fluence,2,0.150699,1034.349807
17,3,size-3,fluence,1,0.216127,15.746988
18,5,size-5,fluence,2,0.096387,1417.583971
19,4,size-4,fluence,2,0.474202,191.268606
20,6,size-6,fluence,4,0.401569,133.984477
21,5,size-5,fluence,2,0.451497,786.468024
22,2,size-2,fluence,1,0.257249,1037.042027
23,2,size-2,fluence,2,0.387403,274.271981
24,5,size-5,fluence,1,0.352184,75.369164
25,6,size-6,fluence,2,0.289791,384.817998
26,2,size-2,fluence,2,0.540446,828.562154
27,4,size-4,fluence,1,0.200411,992.557442
28,5,size-5,fluence,2,0.120469,1116.28261
29,5,size-5,fluence,3,0.328027,645.483161
30,6,size-6,fluence,2,0.631453,695.441684
31,4,size-4,fluence,2,0.13101,1156.228828
32,6,size-6,fluence,1,0.126606,1311.047928
33,4,size-4,fluence,1,0.870841,279.306294
34,2,size-2,fluence,2,0.153445,956.554354
35,3,size-3,fluence,1,0.172007,1141.146061
36,4,size-4,fluence,2,0.405085,596.947462
37,2,size-2,fluence,2,0.395337,543.64647
38,3,size-3,fluence,1,0.11823,1074.383645
39,3,size-3,fluence,3,0.399578,589.545317
40,6,size-6,fluence,2,0.089126,1349.960504
41,2,size-2,fluence,1,0.456851,15.842919
42,5,size-5,fluence,2,0.568029,330.442022
43,5,size-5,fluence,1,0.299128,488.895669
44,3,size-3,fluence,3,0.334344,739.156402
45,3,size-3,fluence,1,0.116988,998.983997
46,2,size-2,fluence,1,0.121026,1199.114802
47,5,size-5,fluence,2,0.161445,911.220653
48,3,size-3,fluence,1,0.2679,875.548052
49,6,size-6,fluence,1,0.07949,1383.518364
50,6,size-6,coscheduling,2,0.085635,1445.36341
51,6,size-6,coscheduling,2,0.27262,1333.536495
52,4,size-4,coscheduling,2,0.425329,577.815413
53,6,size-6,coscheduling,3,0.563003,811.045154
54,4,size-4,coscheduling,2,0.448969,726.049242
55,3,size-3,coscheduling,3,0.76027,858.343874
56,5,size-5,coscheduling,2,0.482567,617.995857
57,2,size-2,coscheduling,2,1.04196,365.397102
58,6,size-6,coscheduling,2,0.451276,1104.238725
59,5,size-5,coscheduling,2,0.45089,139.127302
60,2,size-2,coscheduling,3,0.346229,975.856194
61,4,size-4,coscheduling,3,0.193125,1261.216255
62,2,size-2,coscheduling,3,0.347152,816.813584
63,5,size-5,coscheduling,2,0.159345,1295.735507
64,2,size-2,coscheduling,2,0.313846,1333.541009
65,6,size-6,coscheduling,3,0.315959,971.772104
66,6,size-6,coscheduling,1,0.324573,1220.461923
67,5,size-5,coscheduling,3,0.273498,1062.51526
68,5,size-5,coscheduling,3,0.432227,760.283409
69,2,size-2,coscheduling,4,0.605591,209.359382
70,2,size-2,coscheduling,3,0.601512,29.163675
71,6,size-6,coscheduling,3,0.484779,202.927614
72,3,size-3,coscheduling,1,0.606661,408.229225
73,3,size-3,coscheduling,1,0.626146,27.243608
74,3,size-3,coscheduling,2,0.187516,1143.038331
75,4,size-4,coscheduling,3,0.28909,420.029346
76,3,size-3,coscheduling,3,0.435518,1014.899932
77,5,size-5,coscheduling,2,0.473053,1403.903653
78,5,size-5,coscheduling,2,0.211506,1182.341648
79,6,size-6,coscheduling,4,0.420533,669.201747
80,4,size-4,coscheduling,2,0.112476,1369.701463
81,5,size-5,coscheduling,3,0.246103,914.13505
82,3,size-3,coscheduling,2,0.752554,714.638689
83,4,size-4,coscheduling,2,0.488003,79.504165
84,5,size-5,coscheduling,2,0.81947,459.454331
85,2,size-2,coscheduling,2,0.293132,518.147808
86,3,size-3,coscheduling,2,0.238035,1259.639598
87,5,size-5,coscheduling,3,0.470436,307.357237
88,4,size-4,coscheduling,2,0.307198,865.886219
89,6,size-6,coscheduling,4,1.189322,357.744491
90,3,size-3,coscheduling,2,0.82967,566.248062
91,2,size-2,coscheduling,2,0.639594,1224.075023
92,3,size-3,coscheduling,1,0.217977,1367.638552
93,4,size-4,coscheduling,2,0.24979,266.465179
94,4,size-4,coscheduling,2,0.187717,1147.936943
95,2,size-2,coscheduling,2,0.523174,1110.613179
96,4,size-4,coscheduling,2,0.371152,1022.339043
97,3,size-3,coscheduling,2,0.574414,257.858976
98,6,size-6,coscheduling,3,0.489205,512.771352
99,2,size-2,coscheduling,1,0.552063,675.881686
100,2,size-2,kueue,1,0.122321,406.45765
101,6,size-6,kueue,36,0.088524,991.170601
102,5,size-5,kueue,2,0.189831,14.140398
103,4,size-4,kueue,5,0.105895,610.280407
104,5,size-5,kueue,2,0.175202,328.358181
105,4,size-4,kueue,37,0.119587,135.526369
106,5,size-5,kueue,38,0.186876,530.409018
107,5,size-5,kueue,2,0.204851,290.078498
108,4,size-4,kueue,43,0.188591,58.959148
109,3,size-3,kueue,1,0.109688,907.513877
110,6,size-6,kueue,30,0.129742,210.124177
111,6,size-6,kueue,3,0.190814,575.777836
112,2,size-2,kueue,29,0.122657,320.433549
113,2,size-2,kueue,3,0.278156,367.173314
114,6,size-6,kueue,38,0.102651,656.875269
115,5,size-5,kueue,42,0.186172,487.669497
116,5,size-5,kueue,41,0.084308,948.952529
117,6,size-6,kueue,34,0.295732,93.189173
118,4,size-4,kueue,38,0.086818,778.553881
119,4,size-4,kueue,2,0.125999,533.680893
120,3,size-3,kueue,1,0.103419,614.574485
121,2,size-2,kueue,3,0.115805,828.605088
122,3,size-3,kueue,3,0.167196,96.916694
123,6,size-6,kueue,34,0.11301,443.955348
124,3,size-3,kueue,1,0.132831,781.072122
125,3,size-3,kueue,36,0.118014,572.969205
126,4,size-4,kueue,31,0.12029,363.65419
127,3,size-3,kueue,1,0.091139,702.095981
128,2,size-2,kueue,28,0.151588,605.505318
129,2,size-2,kueue,1,0.092348,825.142326
130,3,size-3,kueue,1,0.174247,14.766679
131,2,size-2,kueue,2,0.180917,175.74817
132,5,size-5,kueue,2,0.129102,739.679162
133,5,size-5,kueue,30,0.141628,170.31159
