,minicluster_size,runtime,analysis,ranks
kubernetes-8/size_4_hostname_noaffinity/lammps-4-19,4,0.20069098472595215,hostname_noaffinity,224
kubernetes-8/size_4_hostname_noaffinity/lammps-4-16,4,0.20026373863220215,hostname_noaffinity,224
kubernetes-8/size_4_hostname_noaffinity/lammps-4-5,4,0.200941801071167,hostname_noaffinity,224
kubernetes-8/size_4_hostname_noaffinity/lammps-4-0,4,0.21235275268554688,hostname_noaffinity,224
kubernetes-8/size_4_hostname_noaffinity/lammps-4-8,4,0.20308256149291992,hostname_noaffinity,224
kubernetes-8/size_4_hostname_noaffinity/lammps-4-10,4,0.2069108486175537,hostname_noaffinity,224
kubernetes-8/size_4_hostname_noaffinity/lammps-4-1,4,0.20628571510314941,hostname_noaffinity,224
kubernetes-8/size_4_hostname_noaffinity/lammps-4-15,4,0.2057490348815918,hostname_noaffinity,224
kubernetes-8/size_4_hostname_noaffinity/lammps-4-6,4,0.20729303359985352,hostname_noaffinity,224
kubernetes-8/size_4_hostname_noaffinity/lammps-4-9,4,0.20270681381225586,hostname_noaffinity,224
kubernetes-8/size_4_hostname_noaffinity/lammps-4-17,4,0.20485234260559082,hostname_noaffinity,224
kubernetes-8/size_2_hostname/lammps-2-8,2,0.24118566513061523,hostname,112
kubernetes-8/size_2_hostname/lammps-2-7,2,0.22713971138000488,hostname,112
kubernetes-8/size_2_hostname/lammps-2-12,2,0.22589755058288574,hostname,112
kubernetes-8/size_2_hostname/lammps-2-15,2,0.22017240524291992,hostname,112
kubernetes-8/size_2_hostname/lammps-2-0,2,0.25891876220703125,hostname,112
kubernetes-8/size_2_hostname/lammps-2-2,2,0.21787691116333008,hostname,112
kubernetes-8/size_2_hostname/lammps-2-19,2,0.2237861156463623,hostname,112
kubernetes-8/size_2_hostname/lammps-2-6,2,0.23429608345031738,hostname,112
kubernetes-8/size_2_hostname/lammps-2-1,2,0.22280526161193848,hostname,112
kubernetes-8/size_2_hostname/lammps-2-9,2,0.21269607543945312,hostname,112
kubernetes-8/size_2_hostname/lammps-2-16,2,0.2163379192352295,hostname,112
kubernetes-8/size_2_hostname/lammps-2-5,2,0.2281494140625,hostname,112
kubernetes-8/size_2_hostname/lammps-2-13,2,0.22758245468139648,hostname,112
kubernetes-8/size_2_hostname/lammps-2-3,2,0.2226428985595703,hostname,112
kubernetes-8/size_2_hostname/lammps-2-14,2,0.22246289253234863,hostname,112
kubernetes-8/size_2_hostname/lammps-2-11,2,0.2254655361175537,hostname,112
kubernetes-8/size_2_hostname/lammps-2-10,2,0.22552013397216797,hostname,112
kubernetes-8/size_2_hostname/lammps-2-17,2,0.21560406684875488,hostname,112
kubernetes-8/size_2_hostname/lammps-2-18,2,0.22115302085876465,hostname,112
kubernetes-8/size_2_hostname/lammps-2-4,2,0.21688461303710938,hostname,112
kubernetes-8/size_7_hostname_noaffinity/lammps-7-2,7,0.240509033203125,hostname_noaffinity,392
kubernetes-8/size_7_hostname_noaffinity/lammps-7-18,7,0.23583340644836426,hostname_noaffinity,392
kubernetes-8/size_7_hostname_noaffinity/lammps-7-0,7,0.28247904777526855,hostname_noaffinity,392
kubernetes-8/size_7_hostname_noaffinity/lammps-7-11,7,0.23576068878173828,hostname_noaffinity,392
kubernetes-8/size_7_hostname_noaffinity/lammps-7-7,7,0.22666096687316895,hostname_noaffinity,392
kubernetes-8/size_7_hostname_noaffinity/lammps-7-15,7,0.23400330543518066,hostname_noaffinity,392
kubernetes-8/size_7_hostname_noaffinity/lammps-7-4,7,0.23636937141418457,hostname_noaffinity,392
kubernetes-8/size_7_hostname_noaffinity/lammps-7-10,7,0.22968721389770508,hostname_noaffinity,392
kubernetes-8/size_7_hostname_noaffinity/lammps-7-3,7,0.2343277931213379,hostname_noaffinity,392
kubernetes-8/size_7_hostname_noaffinity/lammps-7-19,7,0.24382424354553223,hostname_noaffinity,392
kubernetes-8/size_7_hostname_noaffinity/lammps-7-6,7,0.24293804168701172,hostname_noaffinity,392
kubernetes-8/size_7_hostname_noaffinity/lammps-7-16,7,0.23995018005371094,hostname_noaffinity,392
kubernetes-8/size_7_hostname_noaffinity/lammps-7-14,7,0.23372220993041992,hostname_noaffinity,392
kubernetes-8/size_7_hostname_noaffinity/lammps-7-17,7,0.2352583408355713,hostname_noaffinity,392
kubernetes-8/size_7_hostname_noaffinity/lammps-7-9,7,0.22911691665649414,hostname_noaffinity,392
kubernetes-8/size_7_hostname_noaffinity/lammps-7-13,7,0.24056315422058105,hostname_noaffinity,392
kubernetes-8/size_7_hostname_noaffinity/lammps-7-5,7,0.23117899894714355,hostname_noaffinity,392
kubernetes-8/size_7_hostname_noaffinity/lammps-7-8,7,0.23297548294067383,hostname_noaffinity,392
kubernetes-8/size_7_hostname_noaffinity/lammps-7-12,7,0.226456880569458,hostname_noaffinity,392
kubernetes-8/size_7_hostname_noaffinity/lammps-7-1,7,0.2315528392791748,hostname_noaffinity,392
kubernetes-8/size_6_hostname/lammps-6-5,6,0.27580761909484863,hostname,336
kubernetes-8/size_6_hostname/lammps-6-14,6,0.26352643966674805,hostname,336
kubernetes-8/size_6_hostname/lammps-6-19,6,0.24789810180664062,hostname,336
kubernetes-8/size_6_hostname/lammps-6-3,6,0.2558887004852295,hostname,336
kubernetes-8/size_6_hostname/lammps-6-6,6,0.2557549476623535,hostname,336
kubernetes-8/size_6_hostname/lammps-6-4,6,0.25709009170532227,hostname,336
kubernetes-8/size_6_hostname/lammps-6-13,6,0.2607722282409668,hostname,336
kubernetes-8/size_6_hostname/lammps-6-9,6,0.2550182342529297,hostname,336
kubernetes-8/size_6_hostname/lammps-6-1,6,0.26488733291625977,hostname,336
kubernetes-8/size_6_hostname/lammps-6-12,6,0.25391435623168945,hostname,336
kubernetes-8/size_6_hostname/lammps-6-16,6,0.26667141914367676,hostname,336
kubernetes-8/size_6_hostname/lammps-6-8,6,0.2758190631866455,hostname,336
kubernetes-8/size_6_hostname/lammps-6-7,6,0.27379775047302246,hostname,336
kubernetes-8/size_6_hostname/lammps-6-0,6,0.2859790325164795,hostname,336
kubernetes-8/size_6_hostname/lammps-6-10,6,0.26078224182128906,hostname,336
kubernetes-8/size_6_hostname/lammps-6-17,6,0.27240657806396484,hostname,336
kubernetes-8/size_6_hostname/lammps-6-2,6,0.2602827548980713,hostname,336
kubernetes-8/size_6_hostname/lammps-6-18,6,0.2599315643310547,hostname,336
kubernetes-8/size_6_hostname/lammps-6-15,6,0.2653045654296875,hostname,336
kubernetes-8/size_6_hostname/lammps-6-11,6,0.261826753616333,hostname,336
kubernetes-8/size_3_hostname_noaffinity/lammps-3-19,3,0.2010953426361084,hostname_noaffinity,168
kubernetes-8/size_3_hostname_noaffinity/lammps-3-8,3,0.20156574249267578,hostname_noaffinity,168
kubernetes-8/size_3_hostname_noaffinity/lammps-3-12,3,0.1946883201599121,hostname_noaffinity,168
kubernetes-8/size_3_hostname_noaffinity/lammps-3-13,3,0.21017074584960938,hostname_noaffinity,168
kubernetes-8/size_3_hostname_noaffinity/lammps-3-0,3,0.2014765739440918,hostname_noaffinity,168
kubernetes-8/size_3_hostname_noaffinity/lammps-3-9,3,0.20101690292358398,hostname_noaffinity,168
kubernetes-8/size_3_hostname_noaffinity/lammps-3-14,3,0.20168352127075195,hostname_noaffinity,168
kubernetes-8/size_3_hostname_noaffinity/lammps-3-18,3,0.19741344451904297,hostname_noaffinity,168
kubernetes-8/size_3_hostname_noaffinity/lammps-3-17,3,0.19602727890014648,hostname_noaffinity,168
kubernetes-8/size_3_hostname_noaffinity/lammps-3-6,3,0.20035839080810547,hostname_noaffinity,168
kubernetes-8/size_3_hostname_noaffinity/lammps-3-3,3,0.18938875198364258,hostname_noaffinity,168
kubernetes-8/size_3_hostname_noaffinity/lammps-3-1,3,0.20021271705627441,hostname_noaffinity,168
kubernetes-8/size_3_hostname_noaffinity/lammps-3-16,3,0.19306349754333496,hostname_noaffinity,168
kubernetes-8/size_3_hostname_noaffinity/lammps-3-11,3,0.2051377296447754,hostname_noaffinity,168
kubernetes-8/size_3_hostname_noaffinity/lammps-3-10,3,0.2008500099182129,hostname_noaffinity,168
kubernetes-8/size_3_hostname_noaffinity/lammps-3-15,3,0.19830822944641113,hostname_noaffinity,168
kubernetes-8/size_3_hostname_noaffinity/lammps-3-5,3,0.20374631881713867,hostname_noaffinity,168
kubernetes-8/size_3_hostname_noaffinity/lammps-3-7,3,0.19486594200134277,hostname_noaffinity,168
kubernetes-8/size_3_hostname_noaffinity/lammps-3-4,3,0.20605134963989258,hostname_noaffinity,168
kubernetes-8/size_3_hostname_noaffinity/lammps-3-2,3,0.19291949272155762,hostname_noaffinity,168
kubernetes-8/size_7_hostname/lammps-7-2,7,0.26969003677368164,hostname,392
kubernetes-8/size_7_hostname/lammps-7-18,7,0.27464985847473145,hostname,392
kubernetes-8/size_7_hostname/lammps-7-0,7,0.30362892150878906,hostname,392
kubernetes-8/size_7_hostname/lammps-7-11,7,0.26462697982788086,hostname,392
kubernetes-8/size_7_hostname/lammps-7-7,7,0.2675282955169678,hostname,392
kubernetes-8/size_7_hostname/lammps-7-15,7,0.2754557132720947,hostname,392
kubernetes-8/size_7_hostname/lammps-7-4,7,0.26441240310668945,hostname,392
kubernetes-8/size_7_hostname/lammps-7-10,7,0.26692867279052734,hostname,392
kubernetes-8/size_7_hostname/lammps-7-3,7,0.2698554992675781,hostname,392
kubernetes-8/size_7_hostname/lammps-7-19,7,0.2681691646575928,hostname,392
kubernetes-8/size_7_hostname/lammps-7-6,7,0.2618741989135742,hostname,392
kubernetes-8/size_7_hostname/lammps-7-16,7,0.2633678913116455,hostname,392
kubernetes-8/size_7_hostname/lammps-7-14,7,0.2738959789276123,hostname,392
kubernetes-8/size_7_hostname/lammps-7-17,7,0.25975680351257324,hostname,392
kubernetes-8/size_7_hostname/lammps-7-9,7,0.271712064743042,hostname,392
kubernetes-8/size_7_hostname/lammps-7-13,7,0.2685425281524658,hostname,392
kubernetes-8/size_7_hostname/lammps-7-5,7,0.2731311321258545,hostname,392
kubernetes-8/size_7_hostname/lammps-7-8,7,0.2656974792480469,hostname,392
kubernetes-8/size_7_hostname/lammps-7-12,7,0.27313661575317383,hostname,392
kubernetes-8/size_7_hostname/lammps-7-1,7,0.2810554504394531,hostname,392
kubernetes-8/size_8_hostname_noaffinity/lammps-8-19,8,0.25303030014038086,hostname_noaffinity,448
kubernetes-8/size_8_hostname_noaffinity/lammps-8-9,8,0.25414228439331055,hostname_noaffinity,448
kubernetes-8/size_8_hostname_noaffinity/lammps-8-0,8,0.2715907096862793,hostname_noaffinity,448
kubernetes-8/size_8_hostname_noaffinity/lammps-8-17,8,0.2539494037628174,hostname_noaffinity,448
kubernetes-8/size_8_hostname_noaffinity/lammps-8-15,8,0.2497086524963379,hostname_noaffinity,448
kubernetes-8/size_8_hostname_noaffinity/lammps-8-4,8,0.2589082717895508,hostname_noaffinity,448
kubernetes-8/size_8_hostname_noaffinity/lammps-8-1,8,0.26627469062805176,hostname_noaffinity,448
kubernetes-8/size_8_hostname_noaffinity/lammps-8-11,8,0.2635626792907715,hostname_noaffinity,448
kubernetes-8/size_8_hostname_noaffinity/lammps-8-6,8,0.24977874755859375,hostname_noaffinity,448
kubernetes-8/size_8_hostname_noaffinity/lammps-8-7,8,0.2570154666900635,hostname_noaffinity,448
kubernetes-8/size_8_hostname_noaffinity/lammps-8-3,8,0.250164270401001,hostname_noaffinity,448
kubernetes-8/size_8_hostname_noaffinity/lammps-8-12,8,0.2583794593811035,hostname_noaffinity,448
kubernetes-8/size_8_hostname_noaffinity/lammps-8-18,8,0.26186203956604004,hostname_noaffinity,448
kubernetes-8/size_8_hostname_noaffinity/lammps-8-2,8,0.2692441940307617,hostname_noaffinity,448
kubernetes-8/size_8_hostname_noaffinity/lammps-8-14,8,0.25591373443603516,hostname_noaffinity,448
kubernetes-8/size_8_hostname_noaffinity/lammps-8-5,8,0.2478034496307373,hostname_noaffinity,448
kubernetes-8/size_8_hostname_noaffinity/lammps-8-8,8,0.2467505931854248,hostname_noaffinity,448
kubernetes-8/size_8_hostname_noaffinity/lammps-8-10,8,0.24850058555603027,hostname_noaffinity,448
kubernetes-8/size_8_hostname_noaffinity/lammps-8-16,8,0.24985957145690918,hostname_noaffinity,448
kubernetes-8/size_8_hostname_noaffinity/lammps-8-13,8,0.2511575222015381,hostname_noaffinity,448
kubernetes-8/size_2_hostname_noaffinity/lammps-2-8,2,0.18292498588562012,hostname_noaffinity,112
kubernetes-8/size_2_hostname_noaffinity/lammps-2-7,2,0.1903996467590332,hostname_noaffinity,112
kubernetes-8/size_2_hostname_noaffinity/lammps-2-12,2,0.19205331802368164,hostname_noaffinity,112
kubernetes-8/size_2_hostname_noaffinity/lammps-2-15,2,0.1857905387878418,hostname_noaffinity,112
kubernetes-8/size_2_hostname_noaffinity/lammps-2-0,2,0.19988036155700684,hostname_noaffinity,112
kubernetes-8/size_2_hostname_noaffinity/lammps-2-2,2,0.195723295211792,hostname_noaffinity,112
kubernetes-8/size_2_hostname_noaffinity/lammps-2-19,2,0.18792724609375,hostname_noaffinity,112
kubernetes-8/size_2_hostname_noaffinity/lammps-2-6,2,0.19304156303405762,hostname_noaffinity,112
kubernetes-8/size_2_hostname_noaffinity/lammps-2-1,2,0.1998424530029297,hostname_noaffinity,112
kubernetes-8/size_2_hostname_noaffinity/lammps-2-9,2,0.18576645851135254,hostname_noaffinity,112
kubernetes-8/size_2_hostname_noaffinity/lammps-2-16,2,0.19708013534545898,hostname_noaffinity,112
kubernetes-8/size_2_hostname_noaffinity/lammps-2-5,2,0.19038176536560059,hostname_noaffinity,112
kubernetes-8/size_2_hostname_noaffinity/lammps-2-13,2,0.19255304336547852,hostname_noaffinity,112
kubernetes-8/size_2_hostname_noaffinity/lammps-2-3,2,0.18921422958374023,hostname_noaffinity,112
kubernetes-8/size_2_hostname_noaffinity/lammps-2-14,2,0.18131518363952637,hostname_noaffinity,112
kubernetes-8/size_2_hostname_noaffinity/lammps-2-11,2,0.18715405464172363,hostname_noaffinity,112
kubernetes-8/size_2_hostname_noaffinity/lammps-2-10,2,0.19946694374084473,hostname_noaffinity,112
kubernetes-8/size_2_hostname_noaffinity/lammps-2-17,2,0.19663119316101074,hostname_noaffinity,112
kubernetes-8/size_2_hostname_noaffinity/lammps-2-18,2,0.19964385032653809,hostname_noaffinity,112
kubernetes-8/size_2_hostname_noaffinity/lammps-2-4,2,0.18993425369262695,hostname_noaffinity,112
kubernetes-8/size_3_hostname/lammps-3-19,3,0.22342991828918457,hostname,168
kubernetes-8/size_3_hostname/lammps-3-8,3,0.23451757431030273,hostname,168
kubernetes-8/size_3_hostname/lammps-3-12,3,0.23453855514526367,hostname,168
kubernetes-8/size_3_hostname/lammps-3-13,3,0.22223973274230957,hostname,168
kubernetes-8/size_3_hostname/lammps-3-0,3,0.2742733955383301,hostname,168
kubernetes-8/size_3_hostname/lammps-3-9,3,0.231339693069458,hostname,168
kubernetes-8/size_3_hostname/lammps-3-14,3,0.22837615013122559,hostname,168
kubernetes-8/size_3_hostname/lammps-3-18,3,0.22693109512329102,hostname,168
kubernetes-8/size_3_hostname/lammps-3-17,3,0.23906922340393066,hostname,168
kubernetes-8/size_3_hostname/lammps-3-6,3,0.21961092948913574,hostname,168
kubernetes-8/size_3_hostname/lammps-3-3,3,0.22288918495178223,hostname,168
kubernetes-8/size_3_hostname/lammps-3-1,3,0.23467588424682617,hostname,168
kubernetes-8/size_3_hostname/lammps-3-16,3,0.23407363891601562,hostname,168
kubernetes-8/size_3_hostname/lammps-3-11,3,0.22738242149353027,hostname,168
kubernetes-8/size_3_hostname/lammps-3-10,3,0.2300574779510498,hostname,168
kubernetes-8/size_3_hostname/lammps-3-15,3,0.23787498474121094,hostname,168
kubernetes-8/size_3_hostname/lammps-3-5,3,0.22405076026916504,hostname,168
kubernetes-8/size_3_hostname/lammps-3-7,3,0.2207469940185547,hostname,168
kubernetes-8/size_3_hostname/lammps-3-4,3,0.22508788108825684,hostname,168
kubernetes-8/size_3_hostname/lammps-3-2,3,0.22403907775878906,hostname,168
kubernetes-8/size_4_hostname/lammps-4-4,4,0.2401890754699707,hostname,224
kubernetes-8/size_4_hostname/lammps-4-18,4,0.24469828605651855,hostname,224
kubernetes-8/size_4_hostname/lammps-4-7,4,0.23187732696533203,hostname,224
