,stage,type,time
108,run->cleanup,leader,237.66359999999997
109,cleanup->shutdown,leader,0.24659
110,shutdown->finalize,leader,0.0662468
111,goodbye->exit,leader,2.784e-05
112,none->join,leader,0.00026676
113,join->init,leader,2.4e-05
114,init->quorum,leader,0.261885
115,quorum->run,leader,6.34652
116,run->cleanup,leader,242.7972
117,cleanup->shutdown,leader,0.243359
118,shutdown->finalize,leader,0.0669645
119,goodbye->exit,leader,2.088e-05
120,none->join,leader,0.00025425999999999997
121,join->init,leader,2.279e-05
122,init->quorum,leader,0.255131
123,quorum->run,leader,9.11897
124,run->cleanup,leader,244.69079999999997
125,cleanup->shutdown,leader,0.242283
126,shutdown->finalize,leader,0.06597700000000001
127,goodbye->exit,leader,2.0549999999999998e-05
128,none->join,leader,0.00027937000000000003
129,join->init,leader,2.3650000000000002e-05
130,init->quorum,leader,0.262879
131,quorum->run,leader,7.79707
132,run->cleanup,leader,245.95319999999998
133,cleanup->shutdown,leader,0.244944
134,shutdown->finalize,leader,0.0703094
135,goodbye->exit,leader,3.018e-05
136,none->join,leader,0.00025247000000000003
137,join->init,leader,2.377e-05
138,init->quorum,leader,0.269756
139,quorum->run,leader,8.8749
140,run->cleanup,leader,241.9416
141,cleanup->shutdown,leader,0.248626
142,shutdown->finalize,leader,0.0666808
143,goodbye->exit,leader,2.1020000000000002e-05
144,none->join,leader,0.00027424999999999997
145,join->init,leader,2.408e-05
146,init->quorum,leader,0.268124
147,quorum->run,leader,32.0398
148,run->cleanup,leader,242.10000000000002
149,cleanup->shutdown,leader,0.241464
150,shutdown->finalize,leader,0.0683784
151,goodbye->exit,leader,2.198e-05
152,none->join,leader,0.000252739
153,join->init,leader,2.3889e-05
154,init->quorum,leader,0.257418
155,quorum->run,leader,6.26561
156,run->cleanup,leader,245.12159999999997
157,cleanup->shutdown,leader,0.244735
158,shutdown->finalize,leader,0.06581010000000001
159,goodbye->exit,leader,2.161e-05
160,none->join,leader,0.00027964
161,join->init,leader,2.429e-05
162,init->quorum,leader,0.272367
163,quorum->run,leader,6.10747
164,run->cleanup,leader,244.13639999999998
165,cleanup->shutdown,leader,0.245178
166,shutdown->finalize,leader,0.065525
167,goodbye->exit,leader,2.1360000000000002e-05
168,none->join,leader,0.00024696
169,join->init,leader,2.4410000000000002e-05
170,init->quorum,leader,0.26719
171,quorum->run,leader,12.1127
172,run->cleanup,leader,236.85660000000001
173,cleanup->shutdown,leader,0.250244
174,shutdown->finalize,leader,0.0651103
175,goodbye->exit,leader,2.598e-05
176,none->join,leader,0.00025823
177,join->init,leader,2.3199999999999998e-05
178,init->quorum,leader,0.262676
179,quorum->run,leader,30.3661
180,run->cleanup,leader,243.07800000000003
181,cleanup->shutdown,leader,0.242513
182,shutdown->finalize,leader,0.06621880000000001
183,goodbye->exit,leader,2.5589000000000002e-05
184,none->join,leader,0.00025595
185,join->init,leader,2.29e-05
186,init->quorum,leader,0.264768
187,quorum->run,leader,7.00322
188,run->cleanup,leader,243.7512
189,cleanup->shutdown,leader,0.246858
190,shutdown->finalize,leader,0.07223
191,goodbye->exit,leader,2.123e-05
192,none->join,leader,0.0002544
193,join->init,leader,2.664e-05
194,init->quorum,leader,0.264996
195,quorum->run,leader,10.7483
196,run->cleanup,leader,245.937
197,cleanup->shutdown,leader,0.245141
198,shutdown->finalize,leader,0.0663036
199,goodbye->exit,leader,2.121e-05
200,none->join,leader,0.00029044
201,join->init,leader,2.407e-05
202,init->quorum,leader,0.281731
203,quorum->run,leader,6.38786
204,run->cleanup,leader,251.9922
205,cleanup->shutdown,leader,0.251557
206,shutdown->finalize,leader,0.066151
207,goodbye->exit,leader,2.7300000000000003e-05
208,none->join,leader,0.00026511
209,join->init,leader,2.298e-05
210,init->quorum,leader,0.25939
211,quorum->run,leader,8.73119
212,run->cleanup,leader,241.6878
213,cleanup->shutdown,leader,0.243614
214,shutdown->finalize,leader,0.06862520000000001
215,goodbye->exit,leader,2.1360000000000002e-05
216,none->join,leader,0.00028784
217,join->init,leader,2.553e-05
218,init->quorum,leader,0.278931
219,quorum->run,leader,8.01694
220,run->cleanup,leader,230.7132
221,cleanup->shutdown,leader,0.245084
222,shutdown->finalize,leader,0.064981
223,goodbye->exit,leader,2.1769e-05
224,none->join,leader,0.00024775
225,join->init,leader,2.3460000000000002e-05
226,init->quorum,leader,0.258144
227,quorum->run,leader,5.03506
228,run->cleanup,leader,240.864
229,cleanup->shutdown,leader,0.242275
230,shutdown->finalize,leader,0.0650877
231,goodbye->exit,leader,2.541e-05
232,none->join,leader,0.00025219
233,join->init,leader,2.466e-05
234,init->quorum,leader,0.263638
235,quorum->run,leader,3.86533
236,run->cleanup,leader,248.2314
237,cleanup->shutdown,leader,0.245097
238,shutdown->finalize,leader,0.0661788
239,goodbye->exit,leader,2.171e-05
240,none->join,leader,0.00026277
241,join->init,leader,2.5399999999999997e-05
242,init->quorum,leader,0.272337
243,quorum->run,leader,11.2509
244,run->cleanup,leader,234.4692
245,cleanup->shutdown,leader,0.246512
246,shutdown->finalize,leader,0.0650377
247,goodbye->exit,leader,2.101e-05
248,none->join,leader,0.00027224
249,join->init,leader,2.486e-05
250,init->quorum,leader,0.275281
251,quorum->run,leader,11.7113
252,run->cleanup,leader,242.25119999999998
253,cleanup->shutdown,leader,0.247158
254,shutdown->finalize,leader,0.0666794
255,goodbye->exit,leader,2.2519999999999998e-05
256,none->join,leader,0.00026138
257,join->init,leader,2.37e-05
258,init->quorum,leader,0.258452
259,quorum->run,leader,3.30871
260,run->cleanup,leader,242.90220000000002
261,cleanup->shutdown,leader,0.243991
262,shutdown->finalize,leader,0.065937
263,goodbye->exit,leader,2.161e-05
264,none->join,leader,0.000256011
265,join->init,leader,4.518e-05
266,init->quorum,leader,0.267736
267,quorum->run,leader,5.02763
268,run->cleanup,leader,244.9968
269,cleanup->shutdown,leader,0.240794
270,shutdown->finalize,leader,0.0680792
271,goodbye->exit,leader,3.1179999999999996e-05
272,none->join,leader,0.00024772
273,join->init,leader,2.353e-05
274,init->quorum,leader,0.262094
275,quorum->run,leader,7.57613
276,run->cleanup,leader,246.9636
277,cleanup->shutdown,leader,0.245557
278,shutdown->finalize,leader,0.06800360000000001
279,goodbye->exit,leader,2.159e-05
280,none->join,leader,0.00029336
281,join->init,leader,2.507e-05
282,init->quorum,leader,0.271083
283,quorum->run,leader,4.85369
284,run->cleanup,leader,244.6506
285,cleanup->shutdown,leader,0.246783
286,shutdown->finalize,leader,0.0654988
287,goodbye->exit,leader,2.234e-05
288,none->join,leader,0.00025414
289,join->init,leader,2.4240000000000002e-05
290,init->quorum,leader,0.27414
291,quorum->run,leader,10.2856
292,run->cleanup,leader,248.7402
293,cleanup->shutdown,leader,0.244782
294,shutdown->finalize,leader,0.06677169999999999
295,goodbye->exit,leader,2.0850000000000002e-05
296,none->join,leader,0.00026491
297,join->init,leader,2.2839999999999998e-05
298,init->quorum,leader,0.257693
299,quorum->run,leader,31.8386
300,run->cleanup,leader,244.27259999999998
301,cleanup->shutdown,leader,0.241638
302,shutdown->finalize,leader,0.065908
303,goodbye->exit,leader,2.12e-05
304,none->join,leader,0.00025433
305,join->init,leader,2.5260000000000002e-05
306,init->quorum,leader,0.258012
307,quorum->run,leader,2.57315
308,run->cleanup,leader,243.20880000000002
309,cleanup->shutdown,leader,0.245269
310,shutdown->finalize,leader,0.0674371
311,goodbye->exit,leader,3.193e-05
312,none->join,leader,0.00025514
313,join->init,leader,2.4e-05
314,init->quorum,leader,0.263735
315,quorum->run,leader,7.9678
316,run->cleanup,leader,244.5294
317,cleanup->shutdown,leader,0.243468
318,shutdown->finalize,leader,0.0655976
319,goodbye->exit,leader,2.0969999999999997e-05
320,none->join,leader,0.00025482
321,join->init,leader,2.2800000000000002e-05
322,init->quorum,leader,0.260268
323,quorum->run,leader,11.9434
324,run->cleanup,leader,249.34439999999998
325,cleanup->shutdown,leader,0.243551
326,shutdown->finalize,leader,0.06649139999999999
327,goodbye->exit,leader,2.541e-05
328,none->join,leader,0.00026992
329,join->init,leader,2.483e-05
330,init->quorum,leader,0.269266
331,quorum->run,leader,31.6368
332,run->cleanup,leader,243.89399999999998
333,cleanup->shutdown,leader,0.253102
334,shutdown->finalize,leader,0.0684862
335,goodbye->exit,leader,2.2089999999999997e-05
336,none->join,leader,0.00025407
337,join->init,leader,2.281e-05
338,init->quorum,leader,0.264167
339,quorum->run,leader,4.73113
340,run->cleanup,leader,239.4912
341,cleanup->shutdown,leader,0.244827
342,shutdown->finalize,leader,0.0668044
343,goodbye->exit,leader,2.076e-05
344,none->join,leader,0.000261671
345,join->init,leader,2.3769e-05
346,init->quorum,leader,0.267908
347,quorum->run,leader,6.48287
348,run->cleanup,leader,242.295
349,cleanup->shutdown,leader,0.243105
350,shutdown->finalize,leader,0.06608230000000001
351,goodbye->exit,leader,2.23e-05
352,none->join,leader,0.00027024
353,join->init,leader,2.3290000000000002e-05
354,init->quorum,leader,0.274074
355,quorum->run,leader,10.0276
356,run->cleanup,leader,241.60320000000002
357,cleanup->shutdown,leader,0.23906
358,shutdown->finalize,leader,0.06486650000000001
359,goodbye->exit,leader,3.071e-05
360,none->join,leader,0.00026376
361,join->init,leader,2.376e-05
362,init->quorum,leader,0.25827
363,quorum->run,leader,6.88844
364,run->cleanup,leader,242.21759999999998
365,cleanup->shutdown,leader,0.243201
366,shutdown->finalize,leader,0.07001479999999999
367,goodbye->exit,leader,2.067e-05
368,none->join,leader,0.00028349999999999995
369,join->init,leader,2.533e-05
370,init->quorum,leader,0.265922
371,quorum->run,leader,9.94754
372,run->cleanup,leader,237.54
373,cleanup->shutdown,leader,0.248249
374,shutdown->finalize,leader,0.0684279
375,goodbye->exit,leader,2.065e-05
376,none->join,leader,0.00027395
377,join->init,leader,2.487e-05
378,init->quorum,leader,0.271756
379,quorum->run,leader,7.66462
380,run->cleanup,leader,240.71699999999998
381,cleanup->shutdown,leader,0.251273
382,shutdown->finalize,leader,0.06489310000000001
383,goodbye->exit,leader,2.1510000000000002e-05
384,none->join,leader,0.000250591
385,join->init,leader,2.3771e-05
386,init->quorum,leader,0.261142
387,quorum->run,leader,11.8901
388,run->cleanup,leader,244.275
389,cleanup->shutdown,leader,0.252012
390,shutdown->finalize,leader,0.0673
391,goodbye->exit,leader,2.224e-05
392,none->join,leader,0.00026477
393,join->init,leader,2.268e-05
394,init->quorum,leader,0.266153
395,quorum->run,leader,8.10496
396,run->cleanup,leader,244.3164
397,cleanup->shutdown,leader,0.24726
398,shutdown->finalize,leader,0.06496110000000001
399,goodbye->exit,leader,2.13e-05
400,none->join,leader,0.00024953
401,join->init,leader,2.9370000000000002e-05
402,init->quorum,leader,0.257491
403,quorum->run,leader,6.51979
404,run->cleanup,leader,243.92820000000003
405,cleanup->shutdown,leader,0.25056
406,shutdown->finalize,leader,0.06462999999999999
407,goodbye->exit,leader,2.1930000000000002e-05
408,none->join,leader,0.00027639
409,join->init,leader,2.605e-05
410,init->quorum,leader,0.266026
411,quorum->run,leader,8.00268
412,run->cleanup,leader,244.1232
413,cleanup->shutdown,leader,0.251295
414,shutdown->finalize,leader,0.0656677
415,goodbye->exit,leader,2.291e-05
416,none->join,leader,0.00027072
417,join->init,leader,2.341e-05
418,init->quorum,leader,0.254185
419,quorum->run,leader,7.85885
420,run->cleanup,leader,244.6476
421,cleanup->shutdown,leader,0.243323
422,shutdown->finalize,leader,0.0666395
423,goodbye->exit,leader,2.1929e-05
424,none->join,leader,0.00025293
425,join->init,leader,2.283e-05
426,init->quorum,leader,0.25929
427,quorum->run,leader,11.5895
428,run->cleanup,leader,244.2126
429,cleanup->shutdown,leader,0.240121
430,shutdown->finalize,leader,0.0671942
431,goodbye->exit,leader,2.189e-05
432,none->join,leader,0.00027509
433,join->init,leader,2.5770000000000002e-05
434,init->quorum,leader,0.271413
435,quorum->run,leader,10.6516
436,run->cleanup,leader,258.009
437,cleanup->shutdown,leader,0.250796
438,shutdown->finalize,leader,0.0708831
439,goodbye->exit,leader,2.139e-05
440,none->join,leader,0.00025953
441,join->init,leader,2.493e-05
442,init->quorum,leader,0.264887
443,quorum->run,leader,30.2994
444,run->cleanup,leader,237.1428
445,cleanup->shutdown,leader,0.243174
446,shutdown->finalize,leader,0.06434659999999999
447,goodbye->exit,leader,2.609e-05
448,none->join,leader,0.00027068
449,join->init,leader,2.597e-05
450,init->quorum,leader,0.272047
451,quorum->run,leader,3.55158
452,run->cleanup,leader,234.96779999999998
453,cleanup->shutdown,leader,0.254982
454,shutdown->finalize,leader,0.06578350000000001
455,goodbye->exit,leader,2.683e-05
456,none->join,leader,0.00025702
457,join->init,leader,2.3210000000000003e-05
458,init->quorum,leader,0.264246
459,quorum->run,leader,10.0467
460,run->cleanup,leader,246.5022
461,cleanup->shutdown,leader,0.244762
462,shutdown->finalize,leader,0.07371380000000001
463,goodbye->exit,leader,2.18e-05
464,none->join,leader,0.00026807999999999997
465,join->init,leader,2.455e-05
466,init->quorum,leader,0.271386
467,quorum->run,leader,9.96083
468,run->cleanup,leader,240.36659999999998
469,cleanup->shutdown,leader,0.251447
470,shutdown->finalize,leader,0.0688173
